flight,date,aircraft,ori,des,start_time,end_time,duration
1,7/1/06,TranspCom#1,CDG,ORY,0:00,0:30,0:30
73,7/1/06,TranspCom#3,ORY,CDG,0:00,0:30,0:30
2,7/1/06,TranspCom#2,CDG,ORY,0:20,0:50,0:30
74,7/1/06,TranspCom#4,ORY,CDG,0:20,0:50,0:30
75,7/1/06,TranspCom#1,ORY,CDG,0:40,1:10,0:30
3,7/1/06,TranspCom#3,CDG,ORY,0:40,1:10,0:30
76,7/1/06,TranspCom#2,ORY,CDG,1:00,1:30,0:30
4,7/1/06,TranspCom#4,CDG,ORY,1:00,1:30,0:30
5,7/1/06,TranspCom#1,CDG,ORY,1:20,1:50,0:30
77,7/1/06,TranspCom#3,ORY,CDG,1:20,1:50,0:30
6,7/1/06,TranspCom#2,CDG,ORY,1:40,2:10,0:30
78,7/1/06,TranspCom#4,ORY,CDG,1:40,2:10,0:30
79,7/1/06,TranspCom#1,ORY,CDG,2:00,2:30,0:30
7,7/1/06,TranspCom#3,CDG,ORY,2:00,2:30,0:30
80,7/1/06,TranspCom#2,ORY,CDG,2:20,2:50,0:30
8,7/1/06,TranspCom#4,CDG,ORY,2:20,2:50,0:30
9,7/1/06,TranspCom#1,CDG,ORY,2:40,3:10,0:30
81,7/1/06,TranspCom#3,ORY,CDG,2:40,3:10,0:30
10,7/1/06,TranspCom#2,CDG,ORY,3:00,3:30,0:30
82,7/1/06,TranspCom#4,ORY,CDG,3:00,3:30,0:30
83,7/1/06,TranspCom#1,ORY,CDG,3:20,3:50,0:30
11,7/1/06,TranspCom#3,CDG,ORY,3:20,3:50,0:30
84,7/1/06,TranspCom#2,ORY,CDG,3:40,4:10,0:30
12,7/1/06,TranspCom#4,CDG,ORY,3:40,4:10,0:30
13,7/1/06,TranspCom#1,CDG,ORY,4:00,4:30,0:30
85,7/1/06,TranspCom#3,ORY,CDG,4:00,4:30,0:30
14,7/1/06,TranspCom#2,CDG,ORY,4:20,4:50,0:30
86,7/1/06,TranspCom#4,ORY,CDG,4:20,4:50,0:30
87,7/1/06,TranspCom#1,ORY,CDG,4:40,5:10,0:30
15,7/1/06,TranspCom#3,CDG,ORY,4:40,5:10,0:30
2597,7/1/06,ERJ135#2,LEH,URO,5:00,5:20,0:20
88,7/1/06,TranspCom#2,ORY,CDG,5:00,5:30,0:30
16,7/1/06,TranspCom#4,CDG,ORY,5:00,5:30,0:30
5123,7/1/06,CRJ700#1,TLS,AMS,5:05,7:20,2:15
17,7/1/06,TranspCom#1,CDG,ORY,5:20,5:50,0:30
89,7/1/06,TranspCom#3,ORY,CDG,5:20,5:50,0:30
4600,7/1/06,A319#1,BES,CDG,5:25,6:45,1:20
2583,7/1/06,CRJ700#2,RNS,CDG,5:25,6:25,1:00
2587,7/1/06,ERJ145#4,CFR,LYS,5:25,6:35,1:10
2653,7/1/06,F100#4,BES,LYS,5:25,6:55,1:30
4636,7/1/06,F100#5,PUF,CDG,5:25,6:55,1:30
4194,7/1/06,A320#15,MLH,ORY,5:30,6:40,1:10
2866,7/1/06,A320#23,MRS,ORY,5:30,6:50,1:20
2573,7/1/06,BAE300#1,LIG,ORY,5:30,6:35,1:05
4334,7/1/06,ERJ145#1,AVN,ORY,5:30,6:45,1:15
2613,7/1/06,F100#6,RNS,LYS,5:30,6:45,1:15
4684,7/1/06,A319#16,MRS,LYS,5:35,6:35,1:00
