aircraft,airport
TranspCom#3,ORY
TranspCom#1,CDG
TranspCom#4,ORY
TranspCom#2,CDG
ERJ135#2,LEH
CRJ700#1,TLS
CRJ700#2,RNS
A319#1,BES
F100#4,BES
F100#5,PUF
ERJ145#4,CFR
A320#23,MRS
ERJ145#1,AVN
F100#6,RNS
A320#15,MLH
BAE300#1,LIG
A320#1,BES
A319#16,MRS
ERJ145#3,CFE
A320#6,NTE
A320#14,LIG
A319#2,PUF
A319#3,MPL
A320#22,NCE
BAE200#1,RDZ
A320#7,TLS
A318#1,CFE
ERJ145#5,NCE
A320#20,NTE
CRJ100#2,LIL
CRJ700#3,NCE
A319#6,TLN
BAE300#2,UIP
A320#8,ORY
F100#2,SXB
A321#1,TLS
A320#12,BIQ
CRJ100#4,BOD
A321#2,LYS
A320#2,AJA
A319#15,MPL
A320#3,BIA
BAE300#3,SXB
F100#1,BES
BAE200#3,LRT
A318#8,ORY
A318#4,NCE
A319#10,TLS
A320#4,MLH
A318#6,BOD
A320#10,TLS
A318#7,BIQ
A319#4,CDG
A319#17,CDG
A321#4,CDG
A319#18,LYS
A319#5,ORY
A320#24,NCE
A321#3,CDG
A320#5,MRS
ERJ145#2,LDE
A319#11,ORY
A320#21,MRS
A320#19,ORY
A320#11,TLS
CRJ100#3,RNS
A320#9,ORY
A318#2,ETZ
A319#8,SXB
A318#5,ORY
BAE200#2,RNS
A318#3,NTE
A319#14,ORY
A320#16,BOD
A319#7,ORY
F100#3,NTE
A319#13,ORY
ERJ135#1,FSC
A320#17,MRS
A320#18,BOD
A319#12,ORY
A321#5,MPL
CRJ100#1,TLS
A319#9,ORY
A320#13,SXB
