index,name,x,y,demand
demand4,Barrier Fencing,347.5837937384899,78.56093489148581,25
demand5,Poisson Distribution Fish Market,428.96623695518724,48.751252086811355,20
demand7,The Euclidean Space,393.5555555555556,98.43405676126879,15
demand8,The Analytic Center,344.78821362799266,115.20200333889817,50
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,35
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,35
demand15,MILP Mart,176.7427869858809,186.93155258764608,50
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,20
demand22,Vertex Tower,342.92449355432785,231.3355592654424,20
demand24,Presolve: Prenuptial Agreements,429.2768569674647,244.68781302170285,10
demand26,Nonlinear Thinking Center,356.2811540822591,317.0383973288815,30
demand27,Bixby Hall,279.55801104972375,298.40734557595994,25
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,10
demand31,Edgeworth's Newsvendors,72.68508287292818,359.889816360601,15
demand32,Convex Amphitheater,190.41006752608965,367.652754590985,40
demand33,Interior Point Decorating,267.1332105586249,362.0634390651085,10
demand34,Scheduling Station,359.3873542050338,363.9265442404007,25
demand37,Numerical Issues Zoo,315.90055248618785,445.28213689482476,20
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,20
demand43,Bag of Words Designer Handbags,87.90546347452425,481.9232053422371,10
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,15
demand46,Lagrange Boulangerie,104.98956414978515,419.1986644407346,20
demand47,Logistic Regression Couriers,375.2289748311848,397.46243739565944,20
demand51,Farkas' Lemma-nade,391.38121546961327,186,20
demand53,Gu Library,278.62615101289134,105.57595993322204,60
