Player,MainPosition,AlternativePosition,Team,Opp,Salary,PredictedFantasyPoints,Points/Salary Ratio
James Harden,PG,SG,HOU,OKC,11100,48.80957661,4.397259154
LeBron James,SF,PF,CLE,GSW,11000,48.14971785,4.377247077
Russell Westbrook,PG,,OKC,HOU,10900,44.00722367,4.03735997
Kevin Durant,SF,PF,GSW,CLE,10500,43.43857472,4.137007116
Joel Embiid,C,,PHI,NYK,9500,51.31368913,5.401440961
Ben Simmons,PG,SF,PHI,NYK,9300,38.6928166,4.160517915
Karl-Anthony Towns,C,,MIN,LAL,8900,36.1889125,4.066169944
Kristaps Porzingis,PF,C,NYK,PHI,8600,27.11458914,3.152859203
Jimmy Butler,SG,,MIN,LAL,8400,37.87316371,4.508709965
Kyrie Irving,PG,,BOS,WAS,8300,31.83586311,3.835646158
John Wall,PG,,WAS,BOS,8000,33.19756341,4.149695426
Kevin Love,PF,C,CLE,GSW,7500,26.79985648,3.573314198
Kyle Kuzma,SF,PF,LAL,MIN,7300,38.20177387,5.233119708
Draymond Green,PF,C,GSW,CLE,7200,37.0189486,5.141520639
Bradley Beal,SG,,WAS,BOS,7000,26.93442905,3.847775578
Paul George,SF,,OKC,HOU,6800,36.39821228,5.352678277
Al Horford,PF,C,BOS,WAS,6700,27.90677234,4.165189901
Clint Capela,C,,HOU,OKC,6600,33.49031971,5.074290864
Klay Thompson,SG,,GSW,CLE,6400,29.28389663,4.575608849
Dario Saric,PF,C,PHI,NYK,6200,40.50548611,6.533142921
Robert Covington,SF,PF,PHI,NYK,6100,27.30298338,4.475898915
Enes Kanter,PF,C,NYK,PHI,6100,25.67097865,4.208357156
Jeff Teague,PG,,MIN,LAL,6000,31.46045097,5.243408494
Taj Gibson,PF,C,MIN,LAL,5800,20.41199152,3.519308882
Andrew Wiggins,SG,SF,MIN,LAL,5700,21.177012,3.715265264
Carmelo Anthony,SF,PF,OKC,HOU,5600,23.25260635,4.152251134
Eric Gordon,SG,,HOU,OKC,5600,21.77643446,3.88864901
Steven Adams,C,,OKC,HOU,5500,31.15042758,5.663714106
Jayson Tatum,SF,PF,BOS,WAS,5400,24.4524954,4.528239889
Otto Porter,SF,PF,WAS,BOS,5300,19.09630396,3.603076219
Jaylen Brown,SG,SF,BOS,WAS,5200,25.97768375,4.995708413
Kentavious Caldwell-Pope,SG,,LAL,MIN,5100,25.45901696,4.99196411
Michael Beasley,SF,PF,NYK,PHI,5000,22.31200065,4.46240013
Dwyane Wade,PG,SG,CLE,GSW,5000,21.20723541,4.241447082
J.J. Redick,SG,SF,PHI,NYK,5000,25.10299637,5.020599273
Julius Randle,PF,C,LAL,MIN,5000,19.33903936,3.867807873
Trevor Ariza,SG,SF,HOU,OKC,5000,26.35415653,5.270831305
Marcin Gortat,C,,WAS,BOS,4900,23.37086195,4.769563664
Jordan Bell,PF,C,GSW,CLE,4900,33.08329621,6.751693104
Marcus Smart,SG,SF,BOS,WAS,4800,21.22984667,4.422884723
Courtney Lee,SG,SF,NYK,PHI,4800,25.14771715,5.239107739
P.J. Tucker,SF,PF,HOU,OKC,4700,18.13165432,3.857798791
Jordan Clarkson,PG,SG,LAL,MIN,4700,20.67651156,4.399257778
Jarrett Jack,PG,,NYK,PHI,4600,27.78001241,6.039133133
Marcus Morris,SF,PF,BOS,WAS,4600,18.0091272,3.915027653
Ryan Anderson,PF,C,HOU,OKC,4600,22.44655159,4.879685128
Kelly Oubre Jr.,SG,SF,WAS,BOS,4500,17.13502922,3.807784272
Mike Scott,PF,,WAS,BOS,4500,13.62174323,3.027054051
Larry Nance Jr.,SF,PF,LAL,MIN,4500,17.74322739,3.942939419
Markieff Morris,SF,PF,WAS,BOS,4400,25.96558496,5.901269308
Omri Casspi,SF,PF,GSW,CLE,4300,15.96141203,3.711956287
