A,B,distance,duration,tCost,edge,,,,
Aleppo,Ar Raqqa,204000,10920,408,Aleppo S - Ar Raqqa D,,,,
Aleppo,Ar Raqqa,204000,10920,408,Aleppo S - Ar Raqqa TS,,,,
Aleppo,Idleb,66900,3540,133.8,Aleppo S - Idleb D,,,,
Aleppo,Idleb,66900,3540,133.8,Aleppo S - Idleb TS,,,,
Aleppo,Ar Raqqa,204000,10920,408,Aleppo TS - Ar Raqqa D,,,,
Aleppo,Ar Raqqa,204000,10920,408,Aleppo TS - Ar Raqqa TS,,,,
Aleppo,Idleb,66900,3540,133.8,Aleppo TS - Idleb D,,,,
Aleppo,Idleb,66900,3540,133.8,Aleppo TS - Idleb TS,,,,
Amman,As_Suweida,148000,9000,296,Amman S - As_Suweida TS,,,,
Amman,Daraa,99900,6360,199.8,Amman S - Daraa D,,,,
Amman,Daraa,99900,6360,199.8,Amman S - Daraa TS,,,,
Ar Raqqa,Aleppo,204000,10920,408,Ar Raqqa TS - Aleppo TS,,,,
Ar Raqqa,Dayr_Az_Zor,139000,7243,278,Ar Raqqa TS - Dayr_Az_Zor S,,,,
Ar Raqqa,Dayr_Az_Zor,139000,7243,278,Ar Raqqa TS - Dayr_Az_Zor TS,,,,
Ar Raqqa,Hassakeh,220000,12840,440,Ar Raqqa TS - Hassakeh D,,,,
Ar Raqqa,Hassakeh,220000,12840,440,Ar Raqqa TS - Hassakeh TS,,,,
As_Suweida,Damascus,111000,5460,222,As_Suweida S - Damascus TS,,,,
As_Suweida,Daraa,57000,4320,114,As_Suweida S - Daraa D,,,,
As_Suweida,Daraa,57000,4320,114,As_Suweida S - Daraa TS,,,,
As_Suweida,Dayr_Az_Zor,551000,24300,1102,As_Suweida S - Dayr_Az_Zor D,,,,
As_Suweida,Dayr_Az_Zor,551000,24300,1102,As_Suweida S - Dayr_Az_Zor TS,,,,
As_Suweida,Damascus,111000,5460,222,As_Suweida TS - Damascus TS,,,,
As_Suweida,Daraa,57000,4320,114,As_Suweida TS - Daraa D,,,,
As_Suweida,Daraa,57000,4320,114,As_Suweida TS - Daraa TS,,,,
As_Suweida,Dayr_Az_Zor,551000,24300,1102,As_Suweida TS - Dayr_Az_Zor D,,,,
As_Suweida,Dayr_Az_Zor,551000,24300,1102,As_Suweida TS - Dayr_Az_Zor TS,,,,
Beirut,Damascus,113000,7440,226,Beirut S - Damascus TS,,,,
Beirut,Homs,186000,10800,372,Beirut S - Homs TS,,,,
Damascus,As_Suweida,111000,5460,222,Damascus S - As_Suweida TS,,,,
Damascus,Daraa,111000,5640,222,Damascus S - Daraa D,,,,
Damascus,Daraa,111000,5640,222,Damascus S - Daraa TS,,,,
Damascus,Homs,166000,7020,332,Damascus S - Homs TS,,,,
Damascus,As_Suweida,111000,5460,222,Damascus TS - As_Suweida TS,,,,
Damascus,Daraa,111000,5460,222,Damascus TS - Daraa D,,,,
Damascus,Daraa,111000,5460,222,Damascus TS - Daraa TS,,,,
Damascus,Homs,166000,7020,332,Damascus TS - Homs TS,,,,
Daraa,As_Suweida,57000,4320,114,Daraa S - As_Suweida TS,,,,
Daraa,Damascus,111000,5640,222,Daraa S - Damascus TS,,,,
Daraa,Daraa,0,0,0,Daraa S - Daraa D,,,,
Daraa,As_Suweida,57000,4320,114,Daraa TS - As_Suweida TS,,,,
Daraa,Damascus,111000,5640,222,Daraa TS - Damascus TS,,,,
Dayr_Az_Zor,Ar Raqqa,139000,7243,278,Dayr_Az_Zor S - Ar Raqqa D,,,,
Dayr_Az_Zor,Ar Raqqa,139000,7243,278,Dayr_Az_Zor S - Ar Raqqa TS,,,,
Dayr_Az_Zor,As_Suweida,551000,24300,1102,Dayr_Az_Zor S - As_Suweida TS,,,,
Dayr_Az_Zor,Dayr_Az_Zor,0,0,0,Dayr_Az_Zor S - Dayr_Az_Zor D,,,,
Dayr_Az_Zor,Jubb_al_Jarrah,321000,14640,642,Dayr_Az_Zor S - Jubb_al_Jarrah D,,,,
Dayr_Az_Zor,Jubb_al_Jarrah,321000,14640,642,Dayr_Az_Zor S - Jubb_al_Jarrah TS,,,,
Dayr_Az_Zor,Ar Raqqa,139000,7243,278,Dayr_Az_Zor TS - Ar Raqqa D,,,,
Dayr_Az_Zor,Ar Raqqa,139000,7243,278,Dayr_Az_Zor TS - Ar Raqqa TS,,,,
Dayr_Az_Zor,As_Suweida,551000,24300,1102,Dayr_Az_Zor TS - As_Suweida TS,,,,
Dayr_Az_Zor,Jubb_al_Jarrah,321000,14640,642,Dayr_Az_Zor TS - Jubb_al_Jarrah D,,,,
Dayr_Az_Zor,Jubb_al_Jarrah,321000,14640,642,Dayr_Az_Zor TS - Jubb_al_Jarrah TS,,,,
Gaziantep,Aleppo,123000,9180,246,Gaziantep S - Aleppo TS,,,,
Hama,Homs,46000,2520,92,Hama S - Homs TS,,,,
Hama,Idleb,104000,4680,208,Hama S - Idleb D,,,,
Hama,Idleb,104000,4680,208,Hama S - Idleb TS,,,,
Hama,Jubb_al_Jarrah,73800,4560,147.6,Hama S - Jubb_al_Jarrah D,,,,
Hama,Jubb_al_Jarrah,73800,4560,147.6,Hama S - Jubb_al_Jarrah TS,,,,
Hama,Homs,46000,2520,92,Hama TS - Homs TS,,,,
Hama,Idleb,104000,4680,208,Hama TS - Idleb D,,,,
Hama,Idleb,104000,4680,208,Hama TS - Idleb TS,,,,
Hama,Jubb_al_Jarrah,73800,4560,148,Hama TS - Jubb_al_Jarrah D,,,,
Hama,Jubb_al_Jarrah,73800,4560,148,Hama TS - Jubb_al_Jarrah TS,,,,
Hassakeh,Ar Raqqa,220000,12840,440,Hassakeh S - Ar Raqqa D,,,,
Hassakeh,Ar Raqqa,220000,12840,440,Hassakeh S - Ar Raqqa TS,,,,
Hassakeh,Hassakeh,0,0,0,Hassakeh S - Hassakeh D,,,,
Hassakeh,Qamishli,81500,4920,163,Hassakeh S - Qamishli D,,,,
Hassakeh,Ar Raqqa,220000,12840,440,Hassakeh TS - Ar Raqqa D,,,,
Hassakeh,Ar Raqqa,220000,12840,440,Hassakeh TS - Ar Raqqa TS,,,,
Hassakeh,Qamishli,81500,4920,163,Hassakeh TS - Qamishli D,,,,
Homs,Damascus,166000,7020,332,Homs S - Damascus TS,,,,
Homs,Hama,46000,2520,92,Homs S - Hama TS,,,,
Homs,Jubb_al_Jarrah,65800,4380,131.6,Homs S - Jubb_al_Jarrah D,,,,
Homs,Jubb_al_Jarrah,65800,4380,131.6,Homs S - Jubb_al_Jarrah TS,,,,
Homs,Damascus,166000,7020,332,Homs TS - Damascus TS,,,,
Homs,Hama,46000,2520,92,Homs TS - Hama TS,,,,
Homs,Jubb_al_Jarrah,65800,4380,131.6,Homs TS - Jubb_al_Jarrah D,,,,
Homs,Jubb_al_Jarrah,65800,4380,131.6,Homs TS - Jubb_al_Jarrah TS,,,,
Idleb,Aleppo,66900,3540,133.8,Idleb TS - Aleppo TS,,,,
Idleb,Hama,104000,4680,208,Idleb TS - Hama TS,,,,
Jubb_al_Jarrah,Dayr_Az_Zor,321000,14640,642,Jubb_al_Jarrah TS - Dayr_Az_Zor D,,,,
Jubb_al_Jarrah,Dayr_Az_Zor,321000,14640,642,Jubb_al_Jarrah TS - Dayr_Az_Zor TS,,,,
Jubb_al_Jarrah,Hama,65800,4380,131.6,Jubb_al_Jarrah TS - Hama TS,,,,
Jubb_al_Jarrah,Homs,65800,4380,131.6,Jubb_al_Jarrah TS - Homs TS,,,,
