supplier,food,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,Mean
Aleppo,Beans,2121.42,2157.78,2210.43,2264.23,2303.8,2303.47,2303.57,945.1,942.91,958.19,920.38,907.38,1043.22,1055.81,1099.88,1099.98,1075.9,1152.79,1103.88,849.4,933.42,1012.06,1035.68,1166.99,1284.61,1236.09,1257.22,1223.29,1179.61,1006.88,1034.09,1044.91,1073.31,1154.33,1308.14,1713.05,1903.4,2117.72,3495.15,2654.91,3248.84,4025.44,4415.08,4647.67,5507.51,6590.72,8202.35,8348.38,8808.8,9457.55,11076.43,4317.94,3764.34,3859.34,3776.34,4108.16,4576.73,4946.56,2781.6
Aleppo,Bulgur,1084.15,1047.4,1004,1022.29,1014.84,1061.34,1061.39,458.49,493.1,516.58,490.77,465.82,485.22,473.29,532.47,532.52,509.81,518.39,477.94,486.34,498.16,505.64,494.35,473.79,476.49,492.42,519.07,544.17,602.91,601.7,582.53,718.16,853.68,606.8,785.26,963.73,1142.2,963.73,963.73,1277.17,1434.01,2048.11,2204.28,2213.19,2322.56,2309.5,2560.27,2736.28,2826.16,3188.73,3855.7,1533.51,1429.67,1445.28,1461.16,1506.77,1609.06,1678.97,1140.78
Aleppo,Cheese,7135.49,7085.7,6951.23,6571.87,6707.26,6647.98,6881.54,3017.04,3175.1,3337.46,3264.52,3117.59,2790.02,2645.59,2684.99,2685.24,2490.81,2451.19,2547.41,2712.26,2679.12,2671.9,2637.55,2624.47,2608.44,2563.04,2391.46,2262.12,2456.3,2438.34,2682.54,2961.85,2987.69,3098.71,3268.61,3511.33,3637.67,3638.09,2766.99,3542.01,4147.44,5730.67,6416.2,6892.36,8299.97,9335.36,10037.58,10230.28,10666.07,11617.65,12652,5163.41,4963.33,5543.51,6146.54,6595.74,7244.44,7641.83,4856.08
Aleppo,Chickpeas,1755.74,1834.7,1826.51,1890.36,2012.18,2157.68,2245.25,908.75,962.15,967.38,933.48,901.55,916.1,873.77,873.43,873.51,938.1,970.77,1043.22,979.97,1009.52,1082.74,1050.44,1035.73,999.96,973.96,941.7,967.63,969.25,869.39,843.83,833.2,801.8,838.19,810.22,950.07,1199.22,1224.38,1966.02,1413.03,1113.71,1724.23,2063.86,2091.84,2143.59,2476,2721.98,3243.28,3639.04,3997.52,4506.51,1720.85,1893.19,1699.97,1783.98,1832.97,2068.35,2259.76,1545.27
Aleppo,Dates,4219.41,4111.45,4013.68,4118.37,4315.98,4636.09,4782.09,2035.59,2116.73,2152.42,2117.93,1971.48,1661.88,1611.63,1779.21,1779.38,1617.41,1650.31,1598.8,1656.58,1763.56,1712.27,1634.1,1623.3,1614.69,1667.14,1671.44,1715.2,1750.8,1682.18,1641.34,1732.27,1664.84,1721.28,1595.01,1918.63,2220.2,2440.67,3592.24,3599.83,4037.02,5904.17,7096.38,6618.34,6997.69,7993.48,8251.34,8126.68,8701.31,9300.85,10401.8,3820.18,3132.16,3379.84,3427.44,3765.06,4776.99,4806.24,3507.66
Aleppo,Fish,8825.23,8643.75,9105.81,9062.46,9048.09,8971.13,9047.18,3824.92,3861.59,3856.46,3909.68,3876.54,4524.34,4298,3759.48,3759.83,3759.38,4329.09,4065.36,4231.93,3989.8,3831.1,3778.37,3883.5,3874.94,3830.93,3918.3,3962.2,3997.19,3967.19,4129.43,4275.17,4084.25,4031.62,4673.19,5241.75,5825.25,6238.11,6297.58,7231.21,7620.41,13162.37,14539.86,13303.92,13861.57,14692.21,16752.43,18451.45,19241.32,22757.37,29228.21,11129.87,10393.35,9797.76,9799.35,10791.95,11928.56,12567.66,8031.74
Aleppo,Lentils,2449.6,2382.89,2367.49,2386.9,2332.96,2215.99,2163.6,882.09,901.05,942.23,944.65,889.42,837,801.44,793.21,793.28,666.37,745.07,658.93,710.1,663.57,679.63,776.66,673.4,618.23,619.79,681.2,661.81,660.19,669.23,621.59,649.92,628.97,679.61,660.2,809.52,934.37,1035.6,776.7,1677.29,1884.53,2476.68,2611.65,2573.92,2770.74,3133.22,3535.04,4329.54,4347,4854.13,6033.39,2427.7,2141.39,2180.06,2135.08,2198.65,2748.02,3183.39,1682.86
Aleppo,Meat,15998.58,15396.08,15240.34,15106.54,15047.59,15045.43,14579.53,6276.41,6350.19,6312.15,6189.23,6016.82,6113.77,6237.78,6211.07,6211.65,6501.98,6795.39,6550.47,6770.95,6125.09,6021.49,5967.5,6041.95,6368.68,7026.53,7310.31,8430.35,8292.85,7391.86,6804.41,7426.01,8123.73,8228.17,8071.21,8809.07,10123.64,12044.24,13049.44,14069.26,15613.31,21805.34,22493.93,23565.16,24675.34,27709.2,28961.02,28340.39,28400.51,32554.34,36169.01,14658.31,107804.1,14151.19,14619.02,17584.03,17600.42,17584.89,14637.37
Aleppo,Milk,1954.99,1879.02,1841.64,1787.55,1778.88,1720.31,1735.55,735.72,807.24,847.91,825.72,775.39,630.79,606.79,598.46,598.52,603.62,638.28,630.79,597.49,569.99,661.37,644.63,575.15,612.79,618.24,602.07,583.17,595.14,589.57,634.03,685.05,638.9,619.34,648.41,690.48,782.14,940.4,1019.42,869.2,979.16,1606.88,1904.63,1963.76,2244.38,2907.54,3418.09,3360.52,3103.64,2748,2935.16,1150.48,1362.35,1244.79,1302.45,1393.49,1570.48,1769.98,1243.79
Aleppo,Oil,3341.54,3366.14,3359.86,3385.83,3336.13,3294.83,3135.18,1278.55,1346.05,1384.8,1345.13,1285.85,1213.05,1262.12,1270.03,1270.15,1213.7,1079.98,1067.48,1043.55,1098.44,1118.47,1074.51,1106.8,1095.49,1103.66,1108.36,1119.73,1120.38,1068.34,1078.32,1094.6,1163.89,1263.55,1447.99,1888.01,2040.39,2179.07,2524.28,2628.53,3025.13,5410.48,5498.47,5024.28,5667.43,6439.37,7058.11,8207.36,8756.32,10163.27,15220.61,5683.54,5015.33,5164.19,5152.76,5268.21,5713.11,6096.84,3209.79
