depotCity,depotCountry,gglCountryAscii,gglAddressAscii,gglLat,gglLong
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.7237,48.4363
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5967,47.22
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9185,47.5475
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.4043,49.3098
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.8467,49.82
Maroantsetra,Madagascar,Madagascar,"Maroantsetra, Madagascar",-15.4109,49.8583
Mananara,Madagascar,Madagascar,"Mananara, Madagascar",-16.1502,49.6941
Soanierana Ivongo,Madagascar,Madagascar,"Soanierana Ivongo, Madagascar",-16.8961,49.5671
Ambovombe,Madagascar,Madagascar,"Ambovombe, Madagascar",-25.18613271,46.00937803
Taolagnaro,Madagascar,Madagascar,"Taolagnaro, Madagascar",-24.9916,46.94
Ampanihy,Madagascar,Madagascar,"Ampanihy, Madagascar",-24.2364,45.9658
Toliary I,Madagascar,Madagascar,"Toliara, Madagascar",-23.36,43.7067
Benenitra,Madagascar,Madagascar,"Benenitra, Madagascar",-23.4922,45.0081
Midongy,Madagascar,Madagascar,"Midongy, Madagascar",-23.47605,47.02908
Farafangana,Madagascar,Madagascar,"Farafangana, Madagascar",-22.8367,47.7267
Vangaindrano,Madagascar,Madagascar,"Vangaindrano, Madagascar",-23.2705,47.5788
Toamasina I,Madagascar,Madagascar,"Toamasina I, Madagascar",-18.2399,49.4823
Maevatanana,Madagascar,Madagascar,"Maevatanana, Madagascar",-16.9504,46.7881
Mahajanga I,Madagascar,Madagascar,"Mahajanga I, Madagascar",-15.7067,46.3167
Ambanja,Madagascar,Madagascar,"Ambanja, Madagascar",-13.6804,48.4455
Miarinarivo,Madagascar,Madagascar,"Miarinarivo, Madagascar",-18.9608,46.9636
Maintirano,Madagascar,Madagascar,"Maintirano, Madagascar",-18.0946,43.9495
Morondava,Madagascar,Madagascar,"Morondava, Madagascar",-20.3547,44.2475
Antalaha,Madagascar,Madagascar,"Antalaha, Madagascar",-14.8233,50.3633
Sambava,Madagascar,Madagascar,"Sambava, Madagascar",-14.2167,50.1767
Antsohihy,Madagascar,Madagascar,"Antsohihy, Madagascar",-14.9562,48.0735
Manakara,Madagascar,Madagascar,"Manakara, Madagascar",-22.15,48.05
