gglAddressAsciiMapFrom,gglAddressAsciiMapTo
"Ambanja, Madagascar","Ambanja, Madagascar"
"Ambatondrazaka, Madagascar","Ambatondrazaka, Madagascar"
"Ambositra, Madagascar","Ambositra, Madagascar"
"Ambovombe, Madagascar","Ambovombe, Madagascar"
"Ampanihy, Madagascar","Toliara, Madagascar"
"Antalaha, Madagascar","Sambava, Madagascar"
"Antananarivo Renivohitra, Madagascar","Antananarivo Renivohitra, Madagascar"
"Antsohihy, Madagascar","Antsohihy, Madagascar"
"Benenitra, Madagascar","Toliara, Madagascar"
"Farafangana, Madagascar","Farafangana, Madagascar"
"Fenerive Est, Madagascar","Fenerive Est, Madagascar"
"Maevatanana, Madagascar","Maevatanana, Madagascar"
"Mahajanga I, Madagascar","Mahajanga I, Madagascar"
"Maintirano, Madagascar","Maintirano, Madagascar"
"Manakara, Madagascar","Manakara, Madagascar"
"Mananara, Madagascar","Fenerive Est, Madagascar"
"Maroantsetra, Madagascar","Fenerive Est, Madagascar"
"Miarinarivo, Madagascar","Miarinarivo, Madagascar"
"Midongy, Madagascar","Farafangana, Madagascar"
"Morondava, Madagascar","Morondava, Madagascar"
"Sainte-Marie, Madagascar","Fenerive Est, Madagascar"
"Sambava, Madagascar","Sambava, Madagascar"
"Soanierana Ivongo, Madagascar","Fenerive Est, Madagascar"
"Taolagnaro, Madagascar","Taolagnaro, Madagascar"
"Toamasina I, Madagascar","Toamasina I, Madagascar"
"Toliara, Madagascar","Toliara, Madagascar"
"Vangaindrano, Madagascar","Farafangana, Madagascar"
