gglCountryAscii,gglAddressAscii,include
Madagascar,"Antananarivo Renivohitra, Madagascar",1
Madagascar,"Toamasina I, Madagascar",1
Madagascar,"Ambanja, Madagascar",1
Madagascar,"Ambatondrazaka, Madagascar",1
Madagascar,"Ambositra, Madagascar",1
Madagascar,"Ambovombe, Madagascar",1
Madagascar,"Ampanihy, Madagascar",1
Madagascar,"Antalaha, Madagascar",1
Madagascar,"Antsohihy, Madagascar",1
Madagascar,"Farafangana, Madagascar",1
Madagascar,"Fenerive Est, Madagascar",1
Madagascar,"Mahajanga I, Madagascar",1
Madagascar,"Maintirano, Madagascar",1
Madagascar,"Manakara, Madagascar",1
Madagascar,"Maroantsetra, Madagascar",1
Madagascar,"Miarinarivo, Madagascar",1
Madagascar,"Midongy, Madagascar",1
Madagascar,"Morondava, Madagascar",1
Madagascar,"Sainte-Marie, Madagascar",1
Madagascar,"Soanierana Ivongo, Madagascar",1
Madagascar,"Toliara, Madagascar",1
Madagascar,"Maevatanana, Madagascar",1
Madagascar,"Mananara, Madagascar",1
Madagascar,"Sambava, Madagascar",1
Madagascar,"Taolagnaro, Madagascar",1
Madagascar,"Benenitra, Madagascar",1
Madagascar,"Vangaindrano, Madagascar",1
