Day,Month,Year,origDistrictAddress,gglCountry,Type,DisasterID,TotAffected,gglAddress
1,1,2020,Alaotra-Mangoro,Madagascar,Flood,2020-0016-MDG,13385,"Ambatondrazaka, Madagascar"
1,1,2020,Analamanga,Madagascar,Flood,2020-0016-MDG,38573,"Antananarivo, Madagascar"
1,1,2020,Betsiboka,Madagascar,Flood,2020-0016-MDG,4206,"Maevatanana, Madagascar"
1,1,2020,Boeny,Madagascar,Flood,2020-0016-MDG,9927,"Mahajanga, Madagascar"
1,1,2020,Diana,Madagascar,Flood,2020-0016-MDG,9485,"Antsiranana, Madagascar"
1,1,2020,Melaky,Madagascar,Flood,2020-0016-MDG,3303,"Maintirano, Madagascar"
1,1,2020,Sava,Madagascar,Flood,2020-0016-MDG,11972,"Sambava, Madagascar"
1,1,2020,Sofia,Madagascar,Flood,2020-0016-MDG,15994,"Antsohihy, Madagascar"
2,4,2000,Analanjirofo,Madagascar,Storm,2000-0178-MDG,112705,"Fenoarivo Atsinanana, Madagascar"
2,4,2000,Sava,Madagascar,Storm,2000-0178-MDG,109837,"Sambava, Madagascar"
2,4,2000,Sofia,Madagascar,Storm,2000-0178-MDG,146730,"Antsohihy, Madagascar"
2,1,2002,Atsimo-Andrefana,Madagascar,Storm,2002-0004-MDG,1367,"Toliara, Madagascar"
2,1,2002,Menabe,Madagascar,Storm,2002-0004-MDG,533,"Morondava, Madagascar"
2,3,2005,Atsimo-Atsinanana,Madagascar,Flood,2005-0097-MDG,10336,"Farafangana, Madagascar"
2,3,2005,Atsinanana,Madagascar,Flood,2005-0097-MDG,14945,"Toamasina, Madagascar"
2,3,2005,Boeny,Madagascar,Flood,2005-0097-MDG,9375,"Mahajanga, Madagascar"
2,3,2005,Diana,Madagascar,Flood,2005-0097-MDG,8958,"Antsiranana, Madagascar"
2,3,2005,Sofia,Madagascar,Flood,2005-0097-MDG,15104,"Antsohihy, Madagascar"
3,1,2007,Vatovavy,Madagascar,Storm,2007-0032-MDG,7313,"Mananjary, Madagascar"
4,7,2002,Analamanga,Madagascar,Epidemic,2002-0477-MDG,7420,"Antananarivo, Madagascar"
4,7,2002,Atsimo-Andrefana,Madagascar,Epidemic,2002-0477-MDG,3689,"Toliara, Madagascar"
4,7,2002,Atsinanana,Madagascar,Epidemic,2002-0477-MDG,3044,"Toamasina, Madagascar"
4,7,2002,Boeny,Madagascar,Epidemic,2002-0477-MDG,1910,"Mahajanga, Madagascar"
4,7,2002,Haute Matsiatra,Madagascar,Epidemic,2002-0477-MDG,2968,"Fianarantsoa, Madagascar"
4,7,2002,Vatovavy-Fitovinany,Madagascar,Epidemic,2002-0477-MDG,2945,"Manakara, Madagascar"
4,10,2018,Analamanga,Madagascar,Epidemic,2018-0433-MDG,98415,"Antananarivo, Madagascar"
4,2,2006,Atsimo-Andrefana,Madagascar,Storm,2006-0089-MDG,6212,"Toliara, Madagascar"
5,3,2008,Diana,Madagascar,Storm,2008-0111-MDG,400,"Antsiranana, Madagascar"
5,1,2018,Analamanga,Madagascar,Storm,2018-0008-MDG,38589,"Antananarivo, Madagascar"
5,1,2018,Analanjirofo,Madagascar,Storm,2018-0008-MDG,12290,"Fenoarivo Atsinanana, Madagascar"
5,1,2018,Atsimo-Atsinanana,Madagascar,Storm,2018-0008-MDG,10950,"Farafangana, Madagascar"
5,1,2018,Atsinanana,Madagascar,Storm,2018-0008-MDG,15832,"Toamasina, Madagascar"
5,1,2018,Boeny,Madagascar,Storm,2018-0008-MDG,9931,"Mahajanga, Madagascar"
5,1,2018,Haute Matsiatra,Madagascar,Storm,2018-0008-MDG,15436,"Fianarantsoa, Madagascar"
5,1,2018,Menabe,Madagascar,Storm,2018-0008-MDG,7472,"Morondava, Madagascar"
5,1,2018,Sava,Madagascar,Storm,2018-0008-MDG,11977,"Sambava, Madagascar"
5,1,2018,Sofia,Madagascar,Storm,2018-0008-MDG,16000,"Antsohihy, Madagascar"
5,1,2018,Vatovavy,Madagascar,Storm,2018-0008-MDG,7526,"Mananjary, Madagascar"
5,1,2018,Vatovavy-Fitovinany,Madagascar,Storm,2018-0008-MDG,15314,"Manakara, Madagascar"
5,10,2013,Alaotra-Mangoro,Madagascar,Epidemic,2013-0559-MDG,45,"Ambatondrazaka, Madagascar"
5,10,2013,Amoron'i Mania,Madagascar,Epidemic,2013-0559-MDG,30,"Fenoarivo Atsinanana, Madagascar"
5,10,2013,Analamanga,Madagascar,Epidemic,2013-0559-MDG,131,"Antananarivo, Madagascar"
5,10,2013,Analanjirofo,Madagascar,Epidemic,2013-0559-MDG,42,"Fenoarivo Atsinanana, Madagascar"
5,10,2013,Betsiboka,Madagascar,Epidemic,2013-0559-MDG,14,"Maevatanana, Madagascar"
5,10,2013,Boeny,Madagascar,Epidemic,2013-0559-MDG,34,"Mahajanga, Madagascar"
5,10,2013,Bongolava,Madagascar,Epidemic,2013-0559-MDG,24,"Tsiroanomandidy, Madagascar"
5,10,2013,Diana,Madagascar,Epidemic,2013-0559-MDG,32,"Antsiranana, Madagascar"
5,10,2013,Haute Matsiatra,Madagascar,Epidemic,2013-0559-MDG,52,"Fianarantsoa, Madagascar"
5,10,2013,Itasy,Madagascar,Epidemic,2013-0559-MDG,33,"Miarinarivo, Madagascar"
5,10,2013,Sava,Madagascar,Epidemic,2013-0559-MDG,41,"Sambava, Madagascar"
5,10,2013,Sofia,Madagascar,Epidemic,2013-0559-MDG,54,"Antsohihy, Madagascar"
5,10,2013,Vakinankaratra,Madagascar,Epidemic,2013-0559-MDG,75,"Antsirabe, Madagascar"
5,10,2013,Vatovavy-Fitovinany,Madagascar,Epidemic,2013-0559-MDG,52,"Manakara, Madagascar"
6,4,2009,Alaotra-Mangoro,Madagascar,Storm,2009-0137-MDG,9078,"Ambatondrazaka, Madagascar"
6,4,2009,Analanjirofo,Madagascar,Storm,2009-0137-MDG,8332,"Fenoarivo Atsinanana, Madagascar"
6,4,2009,Atsimo-Atsinanana,Madagascar,Storm,2009-0137-MDG,7424,"Farafangana, Madagascar"
6,4,2009,Atsinanana,Madagascar,Storm,2009-0137-MDG,10733,"Toamasina, Madagascar"
6,4,2009,Sava,Madagascar,Storm,2009-0137-MDG,8120,"Sambava, Madagascar"
6,4,2009,Sofia,Madagascar,Storm,2009-0137-MDG,10848,"Antsohihy, Madagascar"
6,4,2009,Vatovavy-Fitovinany,Madagascar,Storm,2009-0137-MDG,10382,"Manakara, Madagascar"
7,3,2004,Analanjirofo,Madagascar,Storm,2004-0103-MDG,118853,"Fenoarivo Atsinanana, Madagascar"
