depotCity,depotCountry,gglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,emdatCity,emdatCountry,gglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Alaotra-Mangoro,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,0,0
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Amoron'i Mania,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,11,518
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Analamanga,Madagascar,Madagascar,"Antananarivo, Madagascar",-18.9085,47.5375,6,269
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Analanjirofo,Madagascar,Madagascar,"Fenoarivo Atsinanana, Madagascar",-17.3843,49.4098,11,496
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Anosy,Madagascar,Madagascar,"Taolagnaro, Madagascar",-25.0316,46.99,29,1156
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Atsimo-Andrefana,Madagascar,Madagascar,"Toliara, Madagascar",-23.35,43.6667,22,1187
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Atsimo-Atsinanana,Madagascar,Madagascar,"Farafangana, Madagascar",-22.8167,47.8167,18,841
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Atsinanana,Madagascar,Madagascar,"Toamasina, Madagascar",-18.1499,49.4023,8,398
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Betsiboka,Madagascar,Madagascar,"Maevatanana, Madagascar",-16.9504,46.8281,11,588
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Boeny,Madagascar,Madagascar,"Mahajanga, Madagascar",-15.7167,46.3167,16,843
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Bongolava,Madagascar,Madagascar,"Tsiroanomandidy, Madagascar",-18.7698,46.05,9,479
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Diana,Madagascar,Madagascar,"Antsiranana, Madagascar",-12.2667,49.2833,21,889
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Haute Matsiatra,Madagascar,Madagascar,"Fianarantsoa, Madagascar",-21.447,47.0872,14,669
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Ihorombe,Madagascar,Madagascar,"Ihosy, Madagascar",-22.3961,46.1217,17,863
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Itasy,Madagascar,Madagascar,"Miarinarivo, Madagascar",-18.9608,46.9036,8,359
