ItemName,Warehouse(Region),gglAddress,gglCountry,Total
Blankets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,3400
Blankets,Africa,"Toamasina I, Madagascar",Madagascar,5000
Buckets,Africa,"Ambanja, Madagascar",Madagascar,375
Buckets,Africa,"Ambatondrazaka, Madagascar",Madagascar,26
Buckets,Africa,"Ambositra, Madagascar",Madagascar,41
Buckets,Africa,"Ambovombe, Madagascar",Madagascar,2322
Buckets,Africa,"Ampanihy, Madagascar",Madagascar,1027
Buckets,Africa,"Antalaha, Madagascar",Madagascar,5700
Buckets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,9046
Buckets,Africa,"Antsohihy, Madagascar",Madagascar,610
Buckets,Africa,"Farafangana, Madagascar",Madagascar,3331
Buckets,Africa,"Fenerive Est, Madagascar",Madagascar,2762
Buckets,Africa,"Mahajanga I, Madagascar",Madagascar,150
Buckets,Africa,"Maintirano, Madagascar",Madagascar,2460
Buckets,Africa,"Manakara, Madagascar",Madagascar,4235
Buckets,Africa,"Maroantsetra, Madagascar",Madagascar,1870
Buckets,Africa,"Miarinarivo, Madagascar",Madagascar,3
Buckets,Africa,"Midongy, Madagascar",Madagascar,1870
Buckets,Africa,"Morondava, Madagascar",Madagascar,736
Buckets,Africa,"Sainte-Marie, Madagascar",Madagascar,1682
Buckets,Africa,"Soanierana Ivongo, Madagascar",Madagascar,375
Buckets,Africa,"Toamasina I, Madagascar",Madagascar,1580
Buckets,Africa,"Toliara, Madagascar",Madagascar,610
Clothes,Africa,"Ambanja, Madagascar",Madagascar,80
Clothes,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,3200
Clothes,Africa,"Soanierana Ivongo, Madagascar",Madagascar,80
HygieneAndDignityKits,Africa,"Ambovombe, Madagascar",Madagascar,300
HygieneAndDignityKits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,2500
HygieneAndDignityKits,Africa,"Maroantsetra, Madagascar",Madagascar,276
Kitchenset,Africa,"Ambanja, Madagascar",Madagascar,375
Kitchenset,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,2581
Kitchenset,Africa,"Mahajanga I, Madagascar",Madagascar,150
Kitchenset,Africa,"Morondava, Madagascar",Madagascar,2280
Kitchenset,Africa,"Soanierana Ivongo, Madagascar",Madagascar,375
Mosquitonets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,3052
Mosquitonets,Africa,"Fenerive Est, Madagascar",Madagascar,1000
Mosquitonets,Africa,"Toamasina I, Madagascar",Madagascar,25300
Otherlampslanterns,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,4
Otherlampslanterns,Africa,"Toamasina I, Madagascar",Madagascar,3
PersonalProtectionEquipmentkit(PPE),Africa,"Ambanja, Madagascar",Madagascar,80
PersonalProtectionEquipmentkit(PPE),Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,4840
PersonalProtectionEquipmentkit(PPE),Africa,"Fenerive Est, Madagascar",Madagascar,1352
PersonalProtectionEquipmentkit(PPE),Africa,"Soanierana Ivongo, Madagascar",Madagascar,80
PersonalProtectionEquipmentkit(PPE),Africa,"Toamasina I, Madagascar",Madagascar,361
PersonalProtectionEquipmentkit(PPE),Africa,"Toliara, Madagascar",Madagascar,50
SafeDeliverykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,40
SchoolPlaykits,Africa,"Ambovombe, Madagascar",Madagascar,295
SchoolPlaykits,Africa,"Antalaha, Madagascar",Madagascar,750
SchoolPlaykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,77
SchoolPlaykits,Africa,"Farafangana, Madagascar",Madagascar,273
SchoolPlaykits,Africa,"Fenerive Est, Madagascar",Madagascar,131
SchoolPlaykits,Africa,"Maevatanana, Madagascar",Madagascar,60
SchoolPlaykits,Africa,"Mahajanga I, Madagascar",Madagascar,1684
SchoolPlaykits,Africa,"Maintirano, Madagascar",Madagascar,125
SchoolPlaykits,Africa,"Manakara, Madagascar",Madagascar,300
SchoolPlaykits,Africa,"Mananara, Madagascar",Madagascar,171
SchoolPlaykits,Africa,"Maroantsetra, Madagascar",Madagascar,48
SchoolPlaykits,Africa,"Sambava, Madagascar",Madagascar,75
