ItemName,Warehouse(Region),gglAddress,gglCountry,Total
Blankets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,798672
Buckets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,191682
Clothes,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,479203
HygieneAndDignityKits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,95841
Kitchenset,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,95841
Mosquitonets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,191682
Otherlampslanterns,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,95841
PersonalProtectionEquipmentkit(PPE),Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,479203
SafeDeliverykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,4793
SchoolPlaykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,11981
ShelterToolKit,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,95841
Sleepingmats,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,479203
Tarpaulins,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,191682
Tents,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,95841
WaterContainers,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,191682
