ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Malampa, Vanuatu",Vanuatu,260
Hygiene Kits,Oceania,"Malampa, Vanuatu",Vanuatu,64
Kitchen sets,Oceania,"Malampa, Vanuatu",Vanuatu,118
Shelter tool kits,Oceania,"Malampa, Vanuatu",Vanuatu,93
Sleeping mats,Oceania,"Malampa, Vanuatu",Vanuatu,280
Tarpaulins,Oceania,"Malampa, Vanuatu",Vanuatu,415
Water Containers,Oceania,"Malampa, Vanuatu",Vanuatu,225
mosquito nets,Oceania,"Malampa, Vanuatu",Vanuatu,400
Blankets,Oceania,"Penama, Vanuatu",Vanuatu,160
Hygiene Kits,Oceania,"Penama, Vanuatu",Vanuatu,140
Kitchen sets,Oceania,"Penama, Vanuatu",Vanuatu,180
Shelter tool kits,Oceania,"Penama, Vanuatu",Vanuatu,170
Sleeping mats,Oceania,"Penama, Vanuatu",Vanuatu,159
Tarpaulins,Oceania,"Penama, Vanuatu",Vanuatu,227
Water Containers,Oceania,"Penama, Vanuatu",Vanuatu,215
mosquito nets,Oceania,"Penama, Vanuatu",Vanuatu,190
Blankets,Oceania,"Sanma, Vanuatu",Vanuatu,954
Buckets,Oceania,"Sanma, Vanuatu",Vanuatu,209
Dignity Kits,Oceania,"Sanma, Vanuatu",Vanuatu,295
Hygiene Kits,Oceania,"Sanma, Vanuatu",Vanuatu,1175
Kitchen sets,Oceania,"Sanma, Vanuatu",Vanuatu,601
Shelter tool kits,Oceania,"Sanma, Vanuatu",Vanuatu,760
Sleeping mats,Oceania,"Sanma, Vanuatu",Vanuatu,2400
Tarpaulins,Oceania,"Sanma, Vanuatu",Vanuatu,2370
Water Containers,Oceania,"Sanma, Vanuatu",Vanuatu,4260
mosquito nets,Oceania,"Sanma, Vanuatu",Vanuatu,50
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,2808
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,2659
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,263
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,3913
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,953
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,27119
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,201
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,840
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,5301
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,7123
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,6000
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,2063
Blankets,Oceania,"Tafea, Vanuatu",Vanuatu,243
Dignity Kits,Oceania,"Tafea, Vanuatu",Vanuatu,199
Hygiene Kits,Oceania,"Tafea, Vanuatu",Vanuatu,600
Kitchen sets,Oceania,"Tafea, Vanuatu",Vanuatu,100
Shelter tool kits,Oceania,"Tafea, Vanuatu",Vanuatu,136
Sleeping mats,Oceania,"Tafea, Vanuatu",Vanuatu,125
Tarpaulins,Oceania,"Tafea, Vanuatu",Vanuatu,1200
Water Containers,Oceania,"Tafea, Vanuatu",Vanuatu,1180
mosquito nets,Oceania,"Tafea, Vanuatu",Vanuatu,198
Blankets,Oceania,"Torba, Vanuatu",Vanuatu,319
Hygiene Kits,Oceania,"Torba, Vanuatu",Vanuatu,192
Kitchen sets,Oceania,"Torba, Vanuatu",Vanuatu,168
Shelter tool kits,Oceania,"Torba, Vanuatu",Vanuatu,254
Sleeping mats,Oceania,"Torba, Vanuatu",Vanuatu,400
Tarpaulins,Oceania,"Torba, Vanuatu",Vanuatu,466
Water Containers,Oceania,"Torba, Vanuatu",Vanuatu,286
mosquito nets,Oceania,"Torba, Vanuatu",Vanuatu,465
