ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,88012
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,21123
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,10561
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,52807
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,10561
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,21123
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,52807
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,52807
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,10561
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,52807
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,21123
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,10561
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,21123
