gglCountry,item,capacityToRespond
Afghanistan,DEFAULT,10
Albania,DEFAULT,10
Algeria,DEFAULT,10
American Samoa,DEFAULT,10
Angola,DEFAULT,10
Anguilla,DEFAULT,10
Antigua and Barbuda,DEFAULT,10
Argentina,DEFAULT,10
Armenia,DEFAULT,10
Australia,DEFAULT,2.00E+15
Austria,DEFAULT,2.00E+15
Azerbaijan,DEFAULT,10
Bahrain,DEFAULT,10
Bangladesh,DEFAULT,10
Barbados,DEFAULT,10
Belarus,DEFAULT,10
Belgium,DEFAULT,2.00E+15
Belize,DEFAULT,10
Benin,DEFAULT,10
Bermuda,DEFAULT,10
Bhutan,DEFAULT,10
Bolivia,DEFAULT,10
Bosnia and Herzegovina,DEFAULT,10
Botswana,DEFAULT,10
Brazil,DEFAULT,10
British Virgin Islands,DEFAULT,10
Brunei,DEFAULT,10
Bulgaria,DEFAULT,2.00E+15
Burkina Faso,DEFAULT,10
Burundi,DEFAULT,10
Cambodia,DEFAULT,10
Cameroon,DEFAULT,10
Canada,DEFAULT,2.00E+15
Cape Verde,DEFAULT,10
Cayman Islands,DEFAULT,10
Central African Republic,DEFAULT,10
Chad,DEFAULT,10
Chile,DEFAULT,10
China,DEFAULT,10
Colombia,DEFAULT,10
Comoros,DEFAULT,10
Congo,DEFAULT,10
Cook Islands,DEFAULT,10
Costa Rica,DEFAULT,10
Cote d'Ivoire,DEFAULT,10
Croatia,DEFAULT,2.00E+15
Cuba,DEFAULT,10
Curacao,DEFAULT,10
Czech Republic,DEFAULT,2.00E+15
Democratic Republic of the Congo,DEFAULT,10
Denmark,DEFAULT,2.00E+15
Djibouti,DEFAULT,10
Dominica,DEFAULT,10
Dominican Republic,DEFAULT,10
Ecuador,DEFAULT,10
Egypt,DEFAULT,10
El Salvador,DEFAULT,10
Equatorial Guinea,DEFAULT,10
Eritrea,DEFAULT,10
Estonia,DEFAULT,2.00E+15
Ethiopia,DEFAULT,10
Fiji,DEFAULT,10
Finland,DEFAULT,2.00E+15
France,DEFAULT,2.00E+15
