emdatCity,depotCity,distance_km,drivingTime_hrs,depotCountry,emdatCountry,gglCountryAscii_depot,gglCountryAscii_disaster,depotGglAddressAscii,disasterGglAddressAscii,depotGglLat,depotGglLong,disasterGglLat,disasterGglLong
Torba,Torba,0.0,0.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Torba, Vanuatu","Torba, Vanuatu",-13.873643999999956,167.5495830000001,-13.873643999999956,167.5495830000001
Torba,Sanma,184.0,12.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Sanma, Vanuatu","Torba, Vanuatu",-15.513757933999955,167.1799922040001,-13.873643999999956,167.5495830000001
Torba,Penama,195.0,12.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Penama, Vanuatu","Torba, Vanuatu",-15.548909039999955,168.1484143,-13.873643999999956,167.5495830000001
Torba,Malampa,241.0,16.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Malampa, Vanuatu","Torba, Vanuatu",-16.10622799099997,167.41678100600006,-13.873643999999956,167.5495830000001
Torba,Shefa,430.0,26.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Shefa, Vanuatu","Torba, Vanuatu",-17.73763299799998,168.3157348850001,-13.873643999999956,167.5495830000001
Torba,Tafea,657.0,36.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Tafea, Vanuatu","Torba, Vanuatu",-19.54447261799993,169.2801722150001,-13.873643999999956,167.5495830000001
Sanma,Torba,184.0,12.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Torba, Vanuatu","Sanma, Vanuatu",-13.873643999999956,167.5495830000001,-15.513757933999955,167.1799922040001
Sanma,Sanma,0.0,0.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Sanma, Vanuatu","Sanma, Vanuatu",-15.513757933999955,167.1799922040001,-15.513757933999955,167.1799922040001
Sanma,Penama,103.0,9.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Penama, Vanuatu","Sanma, Vanuatu",-15.548909039999955,168.1484143,-15.513757933999955,167.1799922040001
Sanma,Malampa,68.0,4.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Malampa, Vanuatu","Sanma, Vanuatu",-16.10622799099997,167.41678100600006,-15.513757933999955,167.1799922040001
Sanma,Shefa,274.0,16.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Shefa, Vanuatu","Sanma, Vanuatu",-17.73763299799998,168.3157348850001,-15.513757933999955,167.1799922040001
Sanma,Tafea,499.0,28.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Tafea, Vanuatu","Sanma, Vanuatu",-19.54447261799993,169.2801722150001,-15.513757933999955,167.1799922040001
Penama,Torba,195.0,12.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Torba, Vanuatu","Penama, Vanuatu",-13.873643999999956,167.5495830000001,-15.548909039999955,168.1484143
Penama,Sanma,103.0,9.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Sanma, Vanuatu","Penama, Vanuatu",-15.513757933999955,167.1799922040001,-15.548909039999955,168.1484143
Penama,Penama,0.0,0.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Penama, Vanuatu","Penama, Vanuatu",-15.548909039999955,168.1484143,-15.548909039999955,168.1484143
Penama,Malampa,97.0,6.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Malampa, Vanuatu","Penama, Vanuatu",-16.10622799099997,167.41678100600006,-15.548909039999955,168.1484143
Penama,Shefa,244.0,14.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Shefa, Vanuatu","Penama, Vanuatu",-17.73763299799998,168.3157348850001,-15.548909039999955,168.1484143
Penama,Tafea,461.0,26.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Tafea, Vanuatu","Penama, Vanuatu",-19.54447261799993,169.2801722150001,-15.548909039999955,168.1484143
Malampa,Torba,241.0,16.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Torba, Vanuatu","Malampa, Vanuatu",-13.873643999999956,167.5495830000001,-16.10622799099997,167.41678100600006
Malampa,Sanma,68.0,4.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Sanma, Vanuatu","Malampa, Vanuatu",-15.513757933999955,167.1799922040001,-16.10622799099997,167.41678100600006
Malampa,Penama,97.0,6.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Penama, Vanuatu","Malampa, Vanuatu",-15.548909039999955,168.1484143,-16.10622799099997,167.41678100600006
Malampa,Malampa,0.0,0.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Malampa, Vanuatu","Malampa, Vanuatu",-16.10622799099997,167.41678100600006,-16.10622799099997,167.41678100600006
Malampa,Shefa,205.0,12.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Shefa, Vanuatu","Malampa, Vanuatu",-17.73763299799998,168.3157348850001,-16.10622799099997,167.41678100600006
Malampa,Tafea,431.0,24.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Tafea, Vanuatu","Malampa, Vanuatu",-19.54447261799993,169.2801722150001,-16.10622799099997,167.41678100600006
Shefa,Torba,430.0,26.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Torba, Vanuatu","Shefa, Vanuatu",-13.873643999999956,167.5495830000001,-17.73763299799998,168.3157348850001
Shefa,Sanma,274.0,16.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Sanma, Vanuatu","Shefa, Vanuatu",-15.513757933999955,167.1799922040001,-17.73763299799998,168.3157348850001
Shefa,Penama,244.0,14.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Penama, Vanuatu","Shefa, Vanuatu",-15.548909039999955,168.1484143,-17.73763299799998,168.3157348850001
Shefa,Malampa,205.0,12.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Malampa, Vanuatu","Shefa, Vanuatu",-16.10622799099997,167.41678100600006,-17.73763299799998,168.3157348850001
Shefa,Shefa,0.0,0.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Shefa, Vanuatu","Shefa, Vanuatu",-17.73763299799998,168.3157348850001,-17.73763299799998,168.3157348850001
Shefa,Tafea,227.0,12.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Tafea, Vanuatu","Shefa, Vanuatu",-19.54447261799993,169.2801722150001,-17.73763299799998,168.3157348850001
Tafea,Torba,657.0,36.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Torba, Vanuatu","Tafea, Vanuatu",-13.873643999999956,167.5495830000001,-19.54447261799993,169.2801722150001
Tafea,Sanma,499.0,28.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Sanma, Vanuatu","Tafea, Vanuatu",-15.513757933999955,167.1799922040001,-19.54447261799993,169.2801722150001
Tafea,Penama,461.0,26.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Penama, Vanuatu","Tafea, Vanuatu",-15.548909039999955,168.1484143,-19.54447261799993,169.2801722150001
Tafea,Malampa,431.0,24.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Malampa, Vanuatu","Tafea, Vanuatu",-16.10622799099997,167.41678100600006,-19.54447261799993,169.2801722150001
Tafea,Shefa,227.0,12.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Shefa, Vanuatu","Tafea, Vanuatu",-17.73763299799998,168.3157348850001,-19.54447261799993,169.2801722150001
Tafea,Tafea,0.0,0.0,Vanuatu,Vanuatu,Vanuatu,Vanuatu,"Tafea, Vanuatu","Tafea, Vanuatu",-19.54447261799993,169.2801722150001,-19.54447261799993,169.2801722150001
