order_id,weight
O1,5338
O2,1012
O3,304
O4,2353
O5,2106
O6,1928
O7,1243
O8,939
O9,5643
O10,4567
O11,812
O12,4937
O13,3556
O14,360
O15,344
O16,867
O17,1891
O18,2005
O19,4239
O20,5031
O21,317
O22,4697
O23,1728
O24,5965
O25,5423
O26,5845
O27,4564
O28,3536
O29,1905
O30,3779
O31,4927
O32,2378
O33,153
O34,1407
O35,5819
O36,3562
O37,2887
O38,2376
O39,1373
O40,1863
O41,2857
O42,937
O43,859
O44,3212
O45,892
O46,3040
O47,2917
O48,5045
O49,2266
O50,455
O51,3863
O52,4492
O53,1122
O54,3200
O55,745
O56,4622
O57,2501
O58,5249
O59,5166
O60,3062
O61,4829
O62,1675
O63,41000
O64,669
O65,475
O66,5517
O67,1966
O68,2470
O69,753
O70,2007
O71,927
O72,3213
O73,2377
O74,3814
O75,5307
O76,3088
O77,1432
O78,3132
O79,3010
O80,1816
O81,42000
O82,2287
O83,5849
O84,5699
O85,5408
O86,684
O87,5090
O88,5301
O89,1501
O90,4475
O91,2105
O92,1438
O93,3886
O94,3208
O95,2311
O96,5342
O97,5737
O98,4662
O99,1899
O100,5708
