cust_id,lat,lon,demand,min_demand
C1,39.5914,-118.7495,85,0
C2,33.6734,-113.0231,63,0
C3,40.1505,-75.391,61,0
C4,38.8574,-118.4109,61,0
C5,33.2796,-94.7322,53,0
C6,38.4187,-84.199,139,0
C7,38.1741,-108.978,125,0
C8,42.0873,-85.093,93,0
C9,34.1681,-109.2343,147,0
C10,35.0489,-115.3627,62,0
C11,35.3847,-102.8022,83,0
C12,42.1069,-83.5134,118,0
C13,38.2806,-78.5298,129,0
C14,43.2818,-101.9182,74,0
C15,40.5686,-117.7088,79,0
C16,41.596,-70.7389,79,0
C17,42.9973,-100.9937,108,0
C18,39.5353,-101.7584,97,0
C19,35.3291,-86.4912,139,0
C20,39.5247,-93.293,81,0
C21,32.451,-101.0272,131,0
C22,40.3224,-109.0192,91,0
C23,34.0161,-109.4509,122,0
C24,43.1455,-104.2661,133,0
C25,36.8828,-106.756,81,0
C26,41.1748,-93.0511,145,0
C27,37.6429,-115.4545,56,0
C28,42.9165,-112.3579,70,0
C29,41.8812,-98.892,58,0
C30,35.7715,-90.2056,109,0
C31,40.2043,-114.2724,118,0
C32,41.2632,-81.5701,93,0
C33,31.6733,-98.2617,108,0
C34,30.0487,-83.8954,142,0
C35,33.9508,-94.9707,72,0
C36,37.6152,-114.6795,130,0
C37,34.4767,-88.0525,127,0
C38,32.9837,-101.3043,70,0
C39,43.7774,-90.0528,112,0
C40,33.5918,-107.9564,122,0
C41,44.2042,-115.7173,112,0
C42,42.2403,-71.1008,118,0
C43,41.4875,-113.5804,110,0
C44,44.2027,-111.7437,117,0
C45,43.0865,-98.8431,77,0
C46,33.0173,-104.4142,135,0
C47,39.7482,-98.095,116,0
C48,36.7723,-107.6047,58,0
C49,35.0713,-90.5846,79,0
C50,38.8266,-119.6405,140,0
C51,39.4665,-108.5529,54,0
C52,42.8945,-116.4571,80,0
C53,34.1772,-95.7293,119,0
C54,38.6432,-107.8501,110,0
C55,42.1125,-110.4795,62,0
C56,39.8847,-102.2851,102,0
C57,37.0054,-83.5462,136,0
C58,39.8018,-87.691,57,0
C59,36.0393,-103.0349,63,0
C60,33.7298,-110.4896,107,0
C61,32.1027,-110.8256,109,0
C62,42.1203,-77.2017,62,0
C63,44.5349,-73.6817,80,0
C64,32.4947,-95.7179,77,0
C65,42.9698,-74.8779,71,0
C66,21.3235,-157.745,120,0
C67,19.7444,-155.2522,100,0
C68,20.9327,-156.6685,110,0
