dc,cust,distance,cost
DC1,C1,563.2,1126.4
DC1,C2,57.0,114.0
DC1,C3,2066.0,4131.9
DC1,C4,514.2,1028.5
DC1,C5,999.4,1998.8
DC1,C6,1590.1,3180.2
DC1,C7,369.5,739.0
DC1,C8,1581.3,3162.5
DC1,C9,170.2,340.4
DC1,C10,218.1,436.2
DC1,C11,544.7,1089.3
DC1,C12,1660.6,3321.3
DC1,C13,1896.8,3793.6
DC1,C14,872.6,1745.3
DC1,C15,581.7,1163.3
DC1,C16,2310.4,4620.8
DC1,C17,891.0,1781.9
DC1,C18,709.7,1419.5
DC1,C19,1460.2,2920.3
DC1,C20,1121.6,2243.2
DC1,C21,643.7,1287.3
DC1,C22,503.8,1007.6
DC1,C23,155.5,311.0
DC1,C24,791.5,1583.0
DC1,C25,382.4,764.9
DC1,C26,1170.0,2340.1
DC1,C27,346.5,693.1
DC1,C28,654.3,1308.5
DC1,C29,924.9,1849.7
DC1,C30,1251.0,2502.0
DC1,C31,482.3,964.5
DC1,C32,1749.5,3498.9
DC1,C33,812.8,1625.6
DC1,C34,1666.8,3333.6
DC1,C35,982.4,1964.8
DC1,C36,323.0,646.0
DC1,C37,1375.0,2749.9
DC1,C38,622.9,1245.7
DC1,C39,1379.9,2759.8
DC1,C40,237.1,474.3
DC1,C41,768.3,1536.7
DC1,C42,2292.6,4585.1
DC1,C43,561.5,1122.9
DC1,C44,743.2,1486.3
DC1,C45,976.6,1953.2
DC1,C46,443.4,886.7
DC1,C47,887.5,1775.0
DC1,C48,341.1,682.2
DC1,C49,1229.6,2459.3
DC1,C50,562.2,1124.3
DC1,C51,459.3,918.5
DC1,C52,694.4,1388.9
DC1,C53,938.4,1876.8
DC1,C54,429.2,858.4
DC1,C55,604.8,1209.5
DC1,C56,700.5,1401.0
DC1,C57,1622.3,3244.7
DC1,C58,1416.1,2832.1
DC1,C59,543.0,1086.0
DC1,C60,93.0,186.0
DC1,C61,117.9,235.7
DC1,C62,1980.4,3960.8
DC1,C63,2175.5,4351.0
DC1,C64,949.2,1898.3
DC1,C65,2104.0,4208.1
DC1,C66,2903.6,5807.2
DC1,C67,2800.6,5601.2
DC1,C68,2841.6,5683.2
DC2,C1,1750.3,3500.6
DC2,C2,1492.2,2984.3
DC2,C3,676.7,1353.5
DC2,C4,1735.0,3469.9
DC2,C5,493.3,986.6
DC2,C6,210.9,421.8
DC2,C7,1227.1,2454.3
DC2,C8,419.4,838.8
DC2,C9,1272.9,2545.8
DC2,C10,1601.7,3203.5
DC2,C11,898.8,1797.5
DC2,C12,446.5,893.1
DC2,C13,476.8,953.6
DC2,C14,940.9,1881.8
DC2,C15,1694.0,3388.0
DC2,C16,939.1,1878.3
DC2,C17,890.4,1780.9
DC2,C18,848.7,1697.4
DC2,C19,59.7,119.3
DC2,C20,424.5,849.0
DC2,C21,851.6,1703.2
DC2,C22,1237.1,2474.1
DC2,C23,1287.3,2574.7
DC2,C24,1045.1,2090.2
DC2,C25,1108.3,2216.6
DC2,C26,484.0,968.0
DC2,C27,1581.5,3163.0
DC2,C28,1434.0,2868.0
DC2,C29,759.8,1519.6
DC2,C30,193.4,386.9
DC2,C31,1512.7,3025.5
DC2,C32,450.6,901.2
DC2,C33,727.0,1454.0
DC2,C34,454.0,908.0
DC2,C35,487.6,975.1
DC2,C36,1539.4,3078.8
DC2,C37,136.7,273.3
DC2,C38,854.0,1708.1
DC2,C39,554.0,1108.0
DC2,C40,1210.9,2421.9
DC2,C41,1615.3,3230.7
DC2,C42,936.8,1873.6
DC2,C43,1482.3,2964.6
DC2,C44,1423.0,2846.0
DC2,C45,799.4,1598.8
DC2,C46,1024.7,2049.5
DC2,C47,663.8,1327.6
DC2,C48,1155.6,2311.3
DC2,C49,226.5,453.1
DC2,C50,1801.1,3602.2
DC2,C51,1207.1,2414.2
DC2,C52,1639.0,3278.0
DC2,C53,523.5,1047.0
DC2,C54,1166.5,2333.0
DC2,C55,1330.0,2659.9
DC2,C56,881.0,1761.9
DC2,C57,188.7,377.3
DC2,C58,256.5,512.9
DC2,C59,906.4,1812.9
DC2,C60,1349.9,2699.8
DC2,C61,1399.7,2799.4
DC2,C62,657.4,1314.7
DC2,C63,898.4,1796.7
DC2,C64,569.1,1138.2
DC2,C65,788.2,1576.4
DC2,C66,4330.7,8661.4
DC2,C67,4237.8,8475.6
DC2,C68,4272.8,8545.7
DC3,C1,2338.7,4677.3
DC3,C2,2183.4,4366.8
DC3,C3,82.7,165.5
DC3,C4,2336.3,4672.6
DC3,C5,1250.0,2499.9
DC3,C6,565.5,1130.9
DC3,C7,1862.3,3724.5
DC3,C8,582.3,1164.7
DC3,C9,1971.1,3942.1
DC3,C10,2268.1,4536.2
DC3,C11,1602.0,3204.1
DC3,C12,502.1,1004.2
DC3,C13,294.1,588.1
DC3,C14,1437.8,2875.6
DC3,C15,2267.4,4534.8
DC3,C16,180.3,360.7
DC3,C17,1392.1,2784.3
DC3,C18,1462.7,2925.5
DC3,C19,773.9,1547.7
DC3,C20,1020.6,2041.3
DC3,C21,1596.6,3193.1
DC3,C22,1827.3,3654.6
DC3,C23,1986.7,3973.3
DC3,C24,1556.4,3112.7
DC3,C25,1773.2,3546.4
DC3,C26,992.8,1985.7
DC3,C27,2209.9,4419.8
DC3,C28,1964.1,3928.1
DC3,C29,1290.2,2580.4
DC3,C30,941.5,1883.1
DC3,C31,2098.7,4197.4
DC3,C32,396.5,793.1
DC3,C33,1483.4,2966.9
DC3,C34,922.4,1844.9
DC3,C35,1239.3,2478.6
DC3,C36,2170.3,4340.6
DC3,C37,880.1,1760.3
DC3,C38,1593.5,3187.0
DC3,C39,846.5,1693.0
DC3,C40,1920.6,3841.1
DC3,C41,2117.3,4234.6
DC3,C42,183.6,367.2
DC3,C43,2043.4,4086.7
DC3,C44,1922.0,3844.0
DC3,C45,1283.4,2566.8
DC3,C46,1753.2,3506.3
DC3,C47,1268.8,2537.6
DC3,C48,1820.1,3640.1
DC3,C49,982.6,1965.3
DC3,C50,2399.9,4799.9
DC3,C51,1816.7,3633.4
DC3,C52,2168.8,4337.5
DC3,C53,1270.4,2540.9
DC3,C54,1794.6,3589.3
DC3,C55,1878.4,3756.8
DC3,C56,1485.2,2970.4
DC3,C57,573.4,1146.9
DC3,C58,723.9,1447.8
DC3,C59,1597.8,3195.7
DC3,C60,2049.1,4098.2
DC3,C61,2115.3,4230.6
DC3,C62,192.4,384.8
