,BIT,SUB,NG,WAT,NUC,WDS,LFG,MSB,BLQ,PC,DFO,RFO
2002,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
2003,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
2004,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
2005,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
2006,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
2007,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
2008,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
2009,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
2010,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
2011,27530.00,27530.00,12110.00,13630.00,90020.00,64450.00,64450.00,64450.00,64450.00,12110.00,12110.00,12110.00
