year,BIT,SUB,NG,WAT,NUC,WDS,LFG,MSB,BLQ,PC,DFO,RFO
2002,6.06302708,6.06402767,6.50348568,7.2955801,16.17733743,6.50104301,6.49563872,6.49756954,6.5004493,6.50147791,6.49954831,6.50044004
2003,6.15026254,6.15623887,6.48938739,6.524511848,16.16783567,6.4916571,6.48734929,6.48660207,6.49167838,6.48768416,6.49438931,6.49024632
2004,6.68243855,6.68490739,7.0396064,7.23337099,15.75277672,7.03361388,7.03863003,7.04005315,7.03463223,7.03264566,7.034367,7.03340056
2005,6.56898652,6.57664963,5.91981887,7.091882028,14.36921428,5.92235372,5.92867443,5.92192074,5.92878721,5.9251525,5.9209956,5.91991729
2006,6.95250407,6.94856173,5.83438115,6.643994643,15.14143005,5.83031899,5.83316145,5.83355446,5.82694587,5.83263215,5.8292688,5.8351876
2007,6.99875,7.00375,5.68175,9.31,15.32961,5.68442268,5.6771395,5.68,5.68085945,5.68448,5.68108,5.6766
2008,7.04227307,7.04041652,6.24908295,9.312444044,15.49520275,6.24646816,6.24554911,6.25222621,6.25211106,6.25461203,6.2471092,6.2455167
2009,7.91904838,7.91150633,5.44075938,8.098957103,15.78828104,5.44178349,5.43684871,5.44512583,5.4398668,5.44173048,5.4373136,5.4383316
2010,7.63722914,7.63810567,5.25341891,8.69091371,16.4512022,5.24593969,5.245323,5.24683237,5.25314945,5.24836893,5.249827,5.247053
2011,7.38449513,7.38087979,5.28716388,8.176099031,16.31015976,5.28761678,5.28604707,5.28962087,5.29506293,5.29161199,5.2861465,5.2934968
