Plant,PlantType,FuelType,Capacity,LAT,LON
Allatoona,HYDRO,WAT,86.6,34.1637,-84.7282
Athens Regional Medical Center,OIL,DFO,4.5,33.9625,-83.3981
Avondale Mills,HYDRO,WAT,2.1,33.4883,-81.9925
Baconton Power Plant,GAS,NG,240.0,31.3869,-84.0819
Bainbridge,OIL,DFO,80.0,30.9111,-84.5472
Bank of America Plaza,OIL,DFO,3.0,33.7708,-84.3861
Barnett Shoals,HYDRO,WAT,2.8,33.8406,-83.3092
BJ Gas Recovery,BIOMASS,LFG,2.4,33.93,-84.2378
Blue Ridge,HYDRO,WAT,23.5,34.8825,-84.2803
Bowen,COAL,BIT,3540.4,34.1256,-84.9192
Brunswick Cellulose,BIOMASS,BLQ,72.2,31.1722,-81.5189
Brunswick Plant,BIOMASS,WDS,9.1,31.1722,-81.5189
Buford,HYDRO,WAT,131.2,34.1625,-84.0756
Burton,HYDRO,WAT,6.0,34.7939,-83.5406
Carters,HYDRO,WAT,500.0,34.6121,-84.6733
Chattahoochee Energy Facility,GAS,NG,539.7,33.407,-85.0387
Crisp Plant,COAL,BIT,17.5,31.8477,-83.9421
Dahlberg,GAS,NG,919.0,34.0386,-83.3972
Dekalb Medical Center,OIL,DFO,3.9,33.7919,-84.2831
DeKalb Medical Center-Hillandale,OIL,DFO,1.6,33.7036,-84.1494
Doyle Generating Facility,GAS,NG,409.0,33.8376,-83.6996
Dublin Mill,COAL,BIT,82.1,32.5036,-82.8443
Eagle & Phenix,HYDRO,WAT,4.2,32.4608,-84.9875
Edwin I Hatch,NUCLEAR,NUC,1721.8,31.9342,-82.3447
Effingham County Power Project,GAS,NG,594.3,32.2792,-81.2842
Flint River,HYDRO,WAT,5.4,31.6028,-84.1376
Flint River Operations,BIOMASS,BLQ,42.0,32.2544,-84.0667
Georgia Pacific Cedar Springs,BIOMASS,BLQ,101.2,31.166,-85.0951
Graniteville Enterprise Division,HYDRO,WAT,1.2,33.4767,-81.9825
Hammond,COAL,BIT,953.0,34.2533,-85.3456
Harllee Branch,COAL,BIT,1746.2,33.1942,-83.2994
Hartwell Energy LP,GAS,NG,360.0,34.3387,-82.8207
Hartwell Lake,HYDRO,WAT,420.0,34.3564,-82.8219
Heard County Power LLC,GAS,NG,495.0,33.35706,-84.99329
High Shoals Hydro,HYDRO,WAT,1.4,33.8003,-83.5014
Inland Paperboard Packaging Rome,BIOMASS,BLQ,70.4,34.2528,-85.3275
International Paper Augusta Mill,BIOMASS,BLQ,84.7,33.3217,-81.9564
International Paper Savanna Mill,BIOMASS,BLQ,154.0,32.1047,-81.1222
Jack McDonough,COAL,BIT,682.0,33.8244,-84.475
Kamin LLC Wrens Plant,GAS,NG,10.4,33.2725,-82.4078
KGen Murray I and II LLC,GAS,NG,1192.0,34.7094,-84.9182
Kraft,COAL,BIT,352.4,32.1486,-81.1458
Lake Blackshear Project,HYDRO,WAT,17.2,31.8475,-83.9419
Lloyd Shoals,HYDRO,WAT,14.4,33.3206,-83.8419
