PNAME,PLFUELCT,PLPFGNCT,CAPFAC,CAPFAC_FIXED,CAPFAC_ACTUAL,NAMEPCAP,LAT,LON,ORIS,NUMGEN,PLNGENAN,Label,MIN_POW,INC_COST,DEC_COST,ORIS,PLPRMFL
Allatoona,HYDRO,HYDRO,0.0667,0.0667,0.0667,86.6,34.1637,-84.7282,760,3,50564,9,0,2397000,10000000,760,WAT
Athens Regional Medical Center,OIL,OIL,0.0004,0.5,0.0004,4.5,33.9625,-83.3981,55319,6,14.701,6,0,901000,10000000,55319,DFO
Avondale Mills,HYDRO,HYDRO,0.6316,0.6316,0.6316,2.1,33.4883,-81.9925,54322,3,11618.002,9,0,2397000,10000000,54322,WAT
Baconton Power Plant,GAS,GAS,0.077110794,0.8,0.0156,240,31.3869,-84.0819,55304,4,32716,7,0,956000,10000000,55304,NG
Bainbridge,OIL,OIL,0.0009,0.5,0.0009,80,30.9111,-84.5472,56015,2,613.999,7,0,901000,10000000,56015,DFO
Bank of America Plaza,OIL,OIL,0.0018,0.5,0.0018,3,33.7708,-84.3861,55152,2,46.999,6,0,901000,10000000,55152,DFO
Barnett Shoals,HYDRO,HYDRO,0.0511,0.0511,0.0511,2.8,33.8406,-83.3092,701,4,1253,9,0,2397000,10000000,701,WAT
BJ Gas Recovery,BIOMASS,BIOMASS,0.6092,0.8,0.6092,2.4,33.93,-84.2378,54392,3,12807.999,6,0,4041000,10000000,54392,LFG
Blue Ridge,HYDRO,HYDRO,0.0779,0.0779,0.0779,23.5,34.8825,-84.2803,757,2,16037,9,0,2397000,10000000,757,WAT
Bowen,COAL,COAL,0.8,0.8,0.7407,3540.4,34.1256,-84.9192,703,5,22972903,1,0.15,2883000,10000000,703,BIT
Brunswick Cellulose,BIOMASS,BIOMASS,0.7586,0.8,0.7586,72.2,31.1722,-81.5189,10605,3,479814.857,7,0,4041000,10000000,10605,BLQ
Brunswick Plant,BIOMASS,BIOMASS,0.2002,0.8,0.2002,9.1,31.1722,-81.5189,10605,2,15961.003,7,0,4041000,10000000,10605,WDS
Buford,HYDRO,HYDRO,0.105,0.105,0.105,131.2,34.1625,-84.0756,759,3,120643,9,0,2397000,10000000,759,WAT
Burton,HYDRO,HYDRO,0.2074,0.2074,0.2074,6,34.7939,-83.5406,704,2,10899,9,0,2397000,10000000,704,WAT
Carters,HYDRO,HYDRO,0.1198,0.1198,0.1198,500,34.6121,-84.6733,6130,4,524564,9,0,2397000,10000000,6130,WAT
Chattahoochee Energy Facility,GAS,GAS,0.250014105,0.8,0.3188,539.7,33.407,-85.0387,7917,3,1507405,5,0,956000,10000000,7917,NG
Crisp Plant,COAL,COAL,0.8,0.8,0.0058,17.5,31.8477,-83.9421,753,2,896.001,7,0,2883000,10000000,753,BIT
Dahlberg,GAS,GAS,0.4192392,0.8,0.0311,919,34.0386,-83.3972,7709,10,249986,6,0,956000,10000000,7709,NG
Dekalb Medical Center,OIL,OIL,0.0008,0.5,0.0008,3.9,33.7919,-84.2831,54830,3,27.002,6,0,901000,10000000,54830,DFO
DeKalb Medical Center-Hillandale,OIL,OIL,0.0006,0.5,0.0006,1.6,33.7036,-84.1494,56231,2,9.002,6,0,901000,10000000,56231,DFO
Doyle Generating Facility,GAS,GAS,0.488179556,0.8,0.0141,409,33.8376,-83.6996,55244,5,50660,6,0,956000,10000000,55244,NG
Dublin Mill,COAL,COAL,0.8,0.8,0.2887,82.1,32.5036,-82.8443,54004,2,207596.947,7,0,2883000,10000000,54004,BIT
Eagle & Phenix,HYDRO,HYDRO,0.0678,0.0678,0.0678,4.2,32.4608,-84.9875,54470,1,2495.999,9,0,2397000,10000000,54470,WAT
Edwin I Hatch,NUCLEAR,NUCLEAR,0.9446,0.95,0.9446,1721.8,31.9342,-82.3447,6051,2,14248105,8,0.8,5429000,10000000,6051,NUC
Effingham County Power Project,GAS,GAS,0.338153089,0.8,0.2228,594.3,32.2792,-81.2842,55406,3,1160068,7,0,956000,10000000,55406,NG
Flint River,HYDRO,HYDRO,0.4708,0.4708,0.4708,5.4,31.6028,-84.1376,706,3,22269,9,0,2397000,10000000,706,WAT
Flint River Operations,BIOMASS,BIOMASS,0.8014,0.8,0.8014,42,32.2544,-84.0667,50465,1,294834.598,7,0,4041000,10000000,50465,BLQ
Georgia Pacific Cedar Springs,BIOMASS,BIOMASS,0.6173,0.8,0.6173,101.2,31.166,-85.0951,54101,2,547245.201,7,0,4041000,10000000,54101,BLQ
Graniteville Enterprise Division,HYDRO,HYDRO,0.4814,0.4814,0.4814,1.2,33.4767,-81.9825,54462,2,5060.999,9,0,2397000,10000000,54462,WAT
Hammond,COAL,COAL,0.8,0.8,0.578,953,34.2533,-85.3456,708,4,4825608.997,6,0,2883000,10000000,708,BIT
Harllee Branch,COAL,COAL,0.8,0.8,0.6782,1746.2,33.1942,-83.2994,709,4,10373819,6,0.15,2883000,10000000,709,BIT
Hartwell Energy LP,GAS,GAS,0.760309605,0.8,0.0672,360,34.3387,-82.8207,54538,2,211934,6,0,956000,10000000,54538,NG
Hartwell Lake,HYDRO,HYDRO,0.0683,0.0683,0.0683,420,34.3564,-82.8219,754,5,251362,9,0,2397000,10000000,754,WAT
Heard County Power LLC,GAS,GAS,0.798562639,0.8,0.0117,495,33.35706,-84.99329,55141,3,50599,6,0,956000,10000000,55141,NG
High Shoals Hydro,HYDRO,HYDRO,0.0036,0.0036,0.0036,1.4,33.8003,-83.5014,10121,1,44,9,0,2397000,10000000,10121,WAT
Inland Paperboard Packaging Rome,BIOMASS,BIOMASS,0.7029,0.8,0.7029,70.4,34.2528,-85.3275,10426,4,433492.865,6,0,4041000,10000000,10426,BLQ
International Paper Augusta Mill,BIOMASS,BIOMASS,0.6098,0.8,0.6098,84.7,33.3217,-81.9564,54358,3,452449.399,6,0,4041000,10000000,54358,BLQ
International Paper Savanna Mill,BIOMASS,BIOMASS,0.6512,0.8,0.6512,154,32.1047,-81.1222,50398,2,878517.009,7,0,4041000,10000000,50398,BLQ
