year,BIT,SUB,NG,WAT,NUC,WDS,LFG,MSB,BLQ,PC,DFO,RFO
2002,51.26279021,51.26279021,25.10830541,0,0,25.10830541,25.10830541,25.10830541,25.10830541,25.10830541,25.10830541,25.10830541
2003,64.09700961,64.09700961,31.39445369,0,0,31.39445369,31.39445369,31.39445369,31.39445369,31.39445369,31.39445369,31.39445369
2004,78.35859425,78.35859425,38.37971963,0,0,38.37971963,38.37971963,38.37971963,38.37971963,38.37971963,38.37971963,38.37971963
2005,93.30853462,93.30853462,45.70213941,0,0,45.70213941,45.70213941,45.70213941,45.70213941,45.70213941,45.70213941,45.70213941
2006,107.4696456,107.4696456,52.63819374,0,0,52.63819374,52.63819374,52.63819374,52.63819374,52.63819374,52.63819374,52.63819374
2007,119.9118158,119.9118158,58.73231796,0,0,58.73231796,58.73231796,58.73231796,58.73231796,58.73231796,58.73231796,58.73231796
2008,130.090498,130.090498,63.71779494,0,0,63.71779494,63.71779494,63.71779494,63.71779494,63.71779494,63.71779494,63.71779494
2009,135.9152653,135.9152653,66.57074219,0,0,66.57074219,66.57074219,66.57074219,66.57074219,66.57074219,66.57074219,66.57074219
2010,142.5038677,142.5038677,69.79781275,0,0,69.79781275,69.79781275,69.79781275,69.79781275,69.79781275,69.79781275,69.79781275
2011,147,147,72,0,0,72,72,72,72,72,72,72
