Plant,Year,Month,Day,Hour,Cost
Bowen,2007,7,1,1,18.06154535
Bowen,2007,7,1,2,15.41309158
Bowen,2007,7,1,3,13.33861012
Bowen,2007,7,1,4,10.99846145
Bowen,2007,7,1,5,7.8776651
Bowen,2007,7,1,6,5.0886799
Bowen,2007,7,1,7,3.757508497
Bowen,2007,7,1,8,3.146415242
Bowen,2007,7,1,9,2.515310316
Bowen,2007,7,1,10,1.883477081
Bowen,2007,7,1,11,1.462124593
Bowen,2007,7,1,12,1.118290312
Bowen,2007,7,1,13,1.23337858
Bowen,2007,7,1,14,1.761525271
Bowen,2007,7,1,15,3.116369316
Bowen,2007,7,1,16,7.813051409
Bowen,2007,7,1,17,14.19583745
Bowen,2007,7,1,18,20.5258156
Bowen,2007,7,1,19,24.97706268
Bowen,2007,7,1,20,30.08082029
Bowen,2007,7,1,21,35.70569326
Bowen,2007,7,1,22,39.86558624
Bowen,2007,7,1,23,39.1947504
Bowen,2007,7,1,24,31.67998445
Bowen,2007,7,2,1,21.60170391
Bowen,2007,7,2,2,17.81592093
Bowen,2007,7,2,3,14.54495517
Bowen,2007,7,2,4,11.78775255
Bowen,2007,7,2,5,10.38356169
Bowen,2007,7,2,6,9.348452732
Bowen,2007,7,2,7,8.030324534
Bowen,2007,7,2,8,6.255370444
Bowen,2007,7,2,9,5.090856388
Bowen,2007,7,2,10,4.132614825
Bowen,2007,7,2,11,3.581537979
Bowen,2007,7,2,12,3.009689138
Bowen,2007,7,2,13,2.18277421
Bowen,2007,7,2,14,1.912835422
Bowen,2007,7,2,15,2.166908894
Bowen,2007,7,2,16,2.727790466
Bowen,2007,7,2,17,3.400859048
Bowen,2007,7,2,18,4.331823296
Bowen,2007,7,2,19,5.679556186
Bowen,2007,7,2,20,6.999813701
Bowen,2007,7,2,21,7.834353919
Bowen,2007,7,2,22,8.478316111
Bowen,2007,7,2,23,8.226580141
Bowen,2007,7,2,24,6.655945156
Bowen,2007,7,3,1,4.469091401
Bowen,2007,7,3,2,3.253986049
Bowen,2007,7,3,3,2.570084005
Bowen,2007,7,3,4,2.104743477
Bowen,2007,7,3,5,1.410088697
Bowen,2007,7,3,6,1.082806554
Bowen,2007,7,3,7,0.867472013
Bowen,2007,7,3,8,0.569072878
Bowen,2007,7,3,9,0.350867131
Bowen,2007,7,3,10,0.19892498
Bowen,2007,7,3,11,0.106361372
Bowen,2007,7,3,12,0.062724022
Bowen,2007,7,3,13,0.024307235
Bowen,2007,7,3,14,0.453637533
Bowen,2007,7,3,15,1.657830299
Bowen,2007,7,3,16,3.034084983
Bowen,2007,7,3,17,4.110617099
Bowen,2007,7,3,18,4.926732684
Bowen,2007,7,3,19,6.355089118
Bowen,2007,7,3,20,7.89488609
Bowen,2007,7,3,21,8.145153096
Bowen,2007,7,3,22,7.288184476
Bowen,2007,7,3,23,6.2897579
Bowen,2007,7,3,24,5.036346239
Bowen,2007,7,4,1,3.610135153
Bowen,2007,7,4,2,2.574702303
Bowen,2007,7,4,3,1.728328198
Bowen,2007,7,4,4,1.036720146
Bowen,2007,7,4,5,0.580924458
Bowen,2007,7,4,6,0.389941168
Bowen,2007,7,4,7,0.265786484
Bowen,2007,7,4,8,0.207883749
Bowen,2007,7,4,9,0.161231922
Bowen,2007,7,4,10,0.1279267
Bowen,2007,7,4,11,0.102408014
Bowen,2007,7,4,12,0.073152457
Bowen,2007,7,4,13,0.032069489
Bowen,2007,7,4,14,0.162661821
Bowen,2007,7,4,15,2.825965087
Bowen,2007,7,4,16,7.175151425
Bowen,2007,7,4,17,10.26229099
Bowen,2007,7,4,18,12.4769016
Bowen,2007,7,4,19,15.08060418
Bowen,2007,7,4,20,18.29617577
Bowen,2007,7,4,21,20.13771429
Bowen,2007,7,4,22,23.24572727
Bowen,2007,7,4,23,26.55578124
Bowen,2007,7,4,24,32.02862737
Bowen,2007,7,5,1,37.12807174
Bowen,2007,7,5,2,43.26225885
Bowen,2007,7,5,3,49.27607824
Bowen,2007,7,5,4,47.42544949
Bowen,2007,7,5,5,51.06223329
Bowen,2007,7,5,6,43.88685784
Bowen,2007,7,5,7,38.30074334
Bowen,2007,7,5,8,31.65548929
Bowen,2007,7,5,9,26.26642525
Bowen,2007,7,5,10,21.52500325
Bowen,2007,7,5,11,14.3849438
Bowen,2007,7,5,12,9.341492643
Bowen,2007,7,5,13,5.846342977
Bowen,2007,7,5,14,2.019201522
Bowen,2007,7,5,15,1.7067281
Bowen,2007,7,5,16,9.258993353
Bowen,2007,7,5,17,23.34223775
Bowen,2007,7,5,18,33.61915936
Bowen,2007,7,5,19,43.61121663
Bowen,2007,7,5,20,59.04283064
Bowen,2007,7,5,21,82.32924924
Bowen,2007,7,5,22,109.9920752
Bowen,2007,7,5,23,141.0402598
Bowen,2007,7,5,24,178.055889
Bowen,2007,7,6,1,207.0964517
Bowen,2007,7,6,2,211.3366542
Bowen,2007,7,6,3,192.304414
Bowen,2007,7,6,4,154.0294579
Bowen,2007,7,6,5,140.5405784
Bowen,2007,7,6,6,126.8927763
Bowen,2007,7,6,7,105.4604542
Bowen,2007,7,6,8,89.33310846
Bowen,2007,7,6,9,72.42017513
Bowen,2007,7,6,10,57.35201203
Bowen,2007,7,6,11,46.98496723
Bowen,2007,7,6,12,42.29839831
Bowen,2007,7,6,13,41.99697348
Bowen,2007,7,6,14,49.88683673
Bowen,2007,7,6,15,50.7610177
Bowen,2007,7,6,16,58.58168695
Bowen,2007,7,6,17,61.96750976
Bowen,2007,7,6,18,67.39466291
Bowen,2007,7,6,19,73.27804697
Bowen,2007,7,6,20,82.08180665
Bowen,2007,7,6,21,95.68124281
Bowen,2007,7,6,22,100.298015
Bowen,2007,7,6,23,92.56227431
Bowen,2007,7,6,24,72.1968167
Bowen,2007,7,7,1,60.88211854
Bowen,2007,7,7,2,57.58804851
Bowen,2007,7,7,3,51.15661644
Bowen,2007,7,7,4,43.43551189
Bowen,2007,7,7,5,35.90068303
Bowen,2007,7,7,6,29.88491434
Bowen,2007,7,7,7,28.46748675
Bowen,2007,7,7,8,24.71376064
Bowen,2007,7,7,9,22.62867458
Bowen,2007,7,7,10,21.08562358
Bowen,2007,7,7,11,19.48320956
Bowen,2007,7,7,12,17.27267684
Bowen,2007,7,7,13,17.26431937
Bowen,2007,7,7,14,22.667023
Bowen,2007,7,7,15,21.20625165
Bowen,2007,7,7,16,16.8618997
Bowen,2007,7,7,17,16.39415461
Bowen,2007,7,7,18,19.87085662
Bowen,2007,7,7,19,20.12513721
Bowen,2007,7,7,20,18.16129738
Bowen,2007,7,7,21,16.00523634
Bowen,2007,7,7,22,15.59140584
Bowen,2007,7,7,23,17.84580752
Bowen,2007,7,7,24,20.98578119
Bowen,2007,7,8,1,22.79273896
Bowen,2007,7,8,2,23.89495667
Bowen,2007,7,8,3,25.08935475
Bowen,2007,7,8,4,26.39226023
Bowen,2007,7,8,5,27.49633699
Bowen,2007,7,8,6,27.85690809
Bowen,2007,7,8,7,27.62199295
Bowen,2007,7,8,8,29.47325502
Bowen,2007,7,8,9,25.61196521
Bowen,2007,7,8,10,17.46454753
Bowen,2007,7,8,11,12.7845921
Bowen,2007,7,8,12,9.454454498
Bowen,2007,7,8,13,7.749310203
Bowen,2007,7,8,14,7.064224778
Bowen,2007,7,8,15,8.101431408
Bowen,2007,7,8,16,9.366692033
Bowen,2007,7,8,17,12.88204989
Bowen,2007,7,8,18,18.77280604
Bowen,2007,7,8,19,23.85695935
Bowen,2007,7,8,20,26.42289994
Bowen,2007,7,8,21,25.74696146
Bowen,2007,7,8,22,22.82347154
Bowen,2007,7,8,23,19.9576832
Bowen,2007,7,8,24,17.77597796
Bowen,2007,7,9,1,16.05982615
Bowen,2007,7,9,2,13.85231912
Bowen,2007,7,9,3,11.92616402
Bowen,2007,7,9,4,12.07128932
Bowen,2007,7,9,5,13.03268392
Bowen,2007,7,9,6,15.41674757
Bowen,2007,7,9,7,15.80863872
Bowen,2007,7,9,8,14.98428643
Bowen,2007,7,9,9,13.56490873
Bowen,2007,7,9,10,11.81413105
Bowen,2007,7,9,11,10.78149025
Bowen,2007,7,9,12,9.804743281
Bowen,2007,7,9,13,10.27461128
Bowen,2007,7,9,14,15.40407826
Bowen,2007,7,9,15,28.21069568
Bowen,2007,7,9,16,55.15091868
Bowen,2007,7,9,17,80.50893987
Bowen,2007,7,9,18,93.13576347
Bowen,2007,7,9,19,101.173593
Bowen,2007,7,9,20,106.330795
Bowen,2007,7,9,21,103.5870942
Bowen,2007,7,9,22,85.32169179
Bowen,2007,7,9,23,69.31222648
Bowen,2007,7,9,24,61.28705686
Bowen,2007,7,10,1,56.32757505
Bowen,2007,7,10,2,50.5339958
Bowen,2007,7,10,3,45.55098294
Bowen,2007,7,10,4,43.62770116
Bowen,2007,7,10,5,43.04684012
Bowen,2007,7,10,6,47.6364443
Bowen,2007,7,10,7,45.10912019
Bowen,2007,7,10,8,40.50427155
Bowen,2007,7,10,9,35.98309254
Bowen,2007,7,10,10,29.84338236
Bowen,2007,7,10,11,25.32589919
Bowen,2007,7,10,12,22.58479706
Bowen,2007,7,10,13,21.26929586
Bowen,2007,7,10,14,18.87954746
Bowen,2007,7,10,15,18.39111646
Bowen,2007,7,10,16,18.03478777
Bowen,2007,7,10,17,15.75150342
Bowen,2007,7,10,18,12.94058124
Bowen,2007,7,10,19,11.43615555
Bowen,2007,7,10,20,11.79245601
Bowen,2007,7,10,21,12.60605126
Bowen,2007,7,10,22,13.99306238
Bowen,2007,7,10,23,15.82259594
Bowen,2007,7,10,24,18.54212753
Bowen,2007,7,11,1,19.88730675
Bowen,2007,7,11,2,19.14200039
Bowen,2007,7,11,3,18.33391627
Bowen,2007,7,11,4,18.00460278
Bowen,2007,7,11,5,17.97191308
Bowen,2007,7,11,6,16.52933447
Bowen,2007,7,11,7,12.6690545
Bowen,2007,7,11,8,8.664480601
Bowen,2007,7,11,9,5.711260015
Bowen,2007,7,11,10,3.675816063
Bowen,2007,7,11,11,2.595212413
Bowen,2007,7,11,12,1.880993098
Bowen,2007,7,11,13,1.198197661
Bowen,2007,7,11,14,1.028072811
Bowen,2007,7,11,15,5.368602231
Bowen,2007,7,11,16,11.69927526
Bowen,2007,7,11,17,11.4329522
Bowen,2007,7,11,18,9.633990576
Bowen,2007,7,11,19,8.466900838
Bowen,2007,7,11,20,7.182859578
Bowen,2007,7,11,21,6.256442624
Bowen,2007,7,11,22,6.457121067
Bowen,2007,7,11,23,8.507325997
Bowen,2007,7,11,24,10.27971168
Bowen,2007,7,12,1,9.447994716
Bowen,2007,7,12,2,7.764095549
Bowen,2007,7,12,3,6.020720435
Bowen,2007,7,12,4,4.838976146
Bowen,2007,7,12,5,4.217247377
Bowen,2007,7,12,6,3.435685827
Bowen,2007,7,12,7,2.503788118
Bowen,2007,7,12,8,1.783030866
Bowen,2007,7,12,9,1.142974839
Bowen,2007,7,12,10,0.758758495
Bowen,2007,7,12,11,0.541723457
Bowen,2007,7,12,12,0.410664411
Bowen,2007,7,12,13,0.493800093
