PNAME,PLFUELCT,LAT,LON,ORIS,NUMGEN,Label,PLPRMFL,NAMEPCAP
Vogtle,NUCLEAR,33.1419,-81.7565,649,2,8,NUC,2320
Barnett Shoals,HYDRO,33.8406,-83.3092,701,4,9,WAT,2.8
Bowen,COAL,34.1256,-84.9192,703,5,1,BIT,3540.4
Burton,HYDRO,34.7939,-83.5406,704,2,9,WAT,6
Flint River,HYDRO,31.6028,-84.1376,706,3,9,WAT,5.4
Hammond,COAL,34.2533,-85.3456,708,4,6,BIT,953
Branch,COAL,33.1942,-83.2994,709,4,3,BIT,1746.2
McDonough,COAL,33.8244,-84.475,710,4,4,BIT,682
Lloyd Shoals,HYDRO,33.3206,-83.8419,712,6,9,WAT,14.4
McManus,OIL,31.2125,-81.5458,715,12,7,RFO,644.3
Morgan Falls,HYDRO,33.9677,-84.3818,717,7,9,WAT,16.8
Nacoochee,HYDRO,34.7528,-83.5014,718,2,9,WAT,4.8
North Highlands,HYDRO,32.4992,-84.9967,719,4,9,WAT,29.6
Oliver Dam,HYDRO,32.5163,-84.9969,720,4,9,WAT,60
Sinclair Dam,HYDRO,33.1403,-83.2028,722,2,9,WAT,45
Tallulah Falls,HYDRO,34.731,-83.3757,723,6,9,WAT,72
Terrora,HYDRO,34.7507,-83.4057,724,2,9,WAT,16
Tugalo,HYDRO,34.7133,-83.3519,725,4,9,WAT,44.8
Mitchell,COAL,31.4444,-84.1322,727,4,7,BIT,288.6
Yates,COAL,33.4622,-84.8986,728,7,5,BIT,1487.3
Yonah,HYDRO,34.6814,-83.3419,729,3,9,WAT,22.5
Kraft,COAL,32.1486,-81.1458,733,5,7,BIT,352.4
Stevens Creek,HYDRO,33.5628,-82.0514,736,8,9,WAT,18.4
Lake Blackshear Project,HYDRO,31.8475,-83.9419,752,4,9,WAT,17.2
Crisp,COAL,31.8477,-83.9421,753,2,7,BIT,17.5
Hartwell Lake,HYDRO,34.3564,-82.8219,754,5,9,WAT,420
Blue Ridge,HYDRO,34.8825,-84.2803,757,2,9,WAT,23.5
Nottely,HYDRO,34.9594,-84.0903,758,2,9,WAT,15.9
Buford,HYDRO,34.1625,-84.0756,759,3,9,WAT,131.2
Allatoona,HYDRO,34.1637,-84.7282,760,3,9,WAT,86.6
Walter F George,HYDRO,31.6256,-85.0639,761,4,9,WAT,130
Hatch,NUCLEAR,31.9342,-82.3447,6051,2,8,NUC,1721.8
Wansley,COAL,33.4124,-85.0345,6052,3,5,BIT,1956.8
McIntosh,COAL,32.3558,-81.1683,6124,9,7,BIT,988
Carters,HYDRO,34.6121,-84.6733,6130,4,9,WAT,500
Richard B Russell,HYDRO,34.0256,-82.5953,6132,8,9,WAT,628
West Point,HYDRO,32.9187,-85.1886,6133,3,9,WAT,73.3
Scherer,COAL,33.0583,-83.8072,6257,4,0,SUB,3564
Wilson,OIL,33.138,-81.748,6258,7,6,DFO,321.2
Robins,GAS,32.5806,-83.5831,7348,2,7,NG,183.8
Dahlberg,GAS,34.0386,-83.3972,7709,10,6,NG,919
MPC Generating,GAS,33.8122,-83.6954,7764,2,6,NG,386.1
Sowega Power,GAS,31.3869,-84.0814,7768,2,7,NG,120
Sewell Creek Energy,GAS,33.9486,-85.2769,7813,4,6,NG,570
Smarr Energy Center,GAS,32.9856,-83.8464,7829,2,7,NG,242
Talbot County Energy,GAS,32.5892,-84.6917,7916,6,7,NG,726
Chattahoochee Energy Facility,GAS,33.407,-85.0387,7917,3,5,NG,539.7
Wansley Unit 9,GAS,33.4082,-85.0399,7946,3,5,NG,568
High Shoals Hydro,HYDRO,33.8003,-83.5014,10121,1,9,WAT,1.4
Savannah River Mill,OIL,32.3683,-81.3413,10361,4,7,PC,140.4
Inland Paperboard Packaging Rome,BIOMASS,34.2528,-85.3275,10426,4,6,BLQ,70.4
Rayonier Jesup Mill,BIOMASS,31.6593,-81.8439,10560,6,7,BLQ,82
Brunswick Cellulose,BIOMASS,31.1722,-81.5189,10605,3,7,BLQ,72.2
Brunswick Plant,BIOMASS,31.1722,-81.5189,10605,2,7,WDS,9.1
Savannah Sugar Refinery,COAL,32.14329,-81.146667,50146,4,7,BIT,11.7
International Paper Savanna Mill,BIOMASS,32.1047,-81.1222,50398,2,7,BLQ,154
Flint River Operations,BIOMASS,32.2544,-84.0667,50465,1,7,BLQ,42
Port Wentworth Mill,BIOMASS,32.1561,-81.1586,50804,2,7,BLQ,72.3
