Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,hour,year,month,date
69.0,68.0,96.0,E,3.0,0.0,29.05,0.0,Mostly Cloudy,23,2004,7,1
69.0,68.0,96.0,SSE,5.0,0.0,29.05,0.0,Cloudy,0,2004,7,1
69.0,68.0,96.0,S,5.0,0.0,29.04,0.0,Cloudy,1,2004,7,1
70.0,69.0,97.0,SW,5.0,0.0,29.03,0.0,Cloudy,2,2004,7,1
70.0,69.0,97.0,CALM,0.0,0.0,29.03,0.0,Cloudy,3,2004,7,1
71.0,69.0,93.0,CALM,0.0,0.0,29.02,0.0,Cloudy,4,2004,7,1
71.0,69.0,93.0,W,3.0,0.0,29.04,0.0,Cloudy,5,2004,7,1
71.0,69.0,93.0,CALM,0.0,0.0,29.05,0.0,Cloudy,6,2004,7,1
72.0,69.0,91.0,W,3.0,0.0,29.06,0.0,Cloudy,7,2004,7,1
75.0,70.0,84.0,WNW,5.0,0.0,29.06,0.0,Mostly Cloudy,8,2004,7,1
76.0,70.0,82.0,NW,6.0,0.0,29.07,0.0,Mostly Cloudy,9,2004,7,1
77.0,70.0,79.0,WSW,5.0,0.0,29.07,0.0,Cloudy,10,2004,7,1
78.0,71.0,79.0,W,6.0,0.0,29.07,0.0,Cloudy,11,2004,7,1
78.0,71.0,79.0,WSW,3.0,0.0,29.05,0.0,Mostly Cloudy,12,2004,7,1
81.0,70.0,70.0,SW,8.0,0.0,29.05,0.0,Mostly Cloudy,13,2004,7,1
80.0,70.0,71.0,WSW,8.0,0.0,29.01,0.0,Mostly Cloudy,14,2004,7,1
81.0,69.0,67.0,W,7.0,0.0,28.99,0.0,Mostly Cloudy,15,2004,7,1
83.0,68.0,60.0,SW,8.0,0.0,28.97,0.0,Mostly Cloudy,16,2004,7,1
82.0,67.0,60.0,W,8.0,0.0,28.98,0.0,Mostly Cloudy,17,2004,7,1
80.0,70.0,71.0,W,8.0,0.0,28.99,0.0,Mostly Cloudy,18,2004,7,1
77.0,69.0,76.0,W,3.0,0.0,29.0,0.0,Cloudy,19,2004,7,1
79.0,70.0,74.0,W,3.0,0.0,29.01,0.0,Mostly Cloudy,20,2004,7,1
77.0,71.0,82.0,WSW,13.0,20.0,29.03,0.0,Mostly Cloudy,21,2004,7,1
