date,units_sold,price,region,year,month,peak
2015-01-04,3.38280012,1.02,Great_Lakes,2015,1,0
2015-01-04,2.57827512,1.1,Midsouth,2015,1,0
2015-01-04,5.79441058,0.89,West,2015,1,0
2015-01-04,3.20411216,0.98,Southeast,2015,1,0
2015-01-04,0.32182377,1.05,Northern_New_England,2015,1,0
2015-01-04,31.32427773,0.95,Total_US,2015,1,0
2015-01-04,3.75928262,1.09,Northeast,2015,1,0
2015-01-04,5.14426701,0.77,SouthCentral,2015,1,0
2015-01-04,1.6837953,1.01,Plains,2015,1,0
2015-01-11,5.40972602,0.8,SouthCentral,2015,1,0
2015-01-11,0.31471703,1.06,Northern_New_England,2015,1,0
2015-01-11,2.43329561,1.18,Southeast,2015,1,0
2015-01-11,5.33309771,0.95,West,2015,1,0
2015-01-11,1.40284183,1.09,Plains,2015,1,0
2015-01-11,29.06354275,1.01,Total_US,2015,1,0
2015-01-11,2.33598611,1.17,Midsouth,2015,1,0
2015-01-11,3.05602477,1.28,Northeast,2015,1,0
2015-01-11,3.06763832,1.1,Great_Lakes,2015,1,0
2015-01-18,0.30920271,1.12,Northern_New_England,2015,1,0
2015-01-18,3.00620702,1.08,Great_Lakes,2015,1,0
2015-01-18,5.32262557,0.79,SouthCentral,2015,1,0
2015-01-18,29.04345885,1.03,Total_US,2015,1,0
2015-01-18,3.06678962,1.32,Northeast,2015,1,0
2015-01-18,1.67494555,1.02,Plains,2015,1,0
2015-01-18,2.3308292,1.19,Midsouth,2015,1,0
2015-01-18,5.47536301,0.96,West,2015,1,0
2015-01-18,2.59578366,1.19,Southeast,2015,1,0
2015-01-25,2.92869232,1.13,Great_Lakes,2015,1,0
2015-01-25,3.23850189,1.27,Northeast,2015,1,0
2015-01-25,5.14225993,0.81,SouthCentral,2015,1,0
2015-01-25,2.48082072,1.15,Midsouth,2015,1,0
2015-01-25,0.29061131,1.06,Northern_New_England,2015,1,0
2015-01-25,5.4613139,0.94,West,2015,1,0
2015-01-25,2.77800082,1.15,Southeast,2015,1,0
2015-01-25,28.47031084,1.04,Total_US,2015,1,0
2015-01-25,1.51083696,1.08,Plains,2015,1,0
2015-02-01,3.66803765,0.99,Midsouth,2015,2,1
2015-02-01,6.93435631,0.71,SouthCentral,2015,2,1
2015-02-01,4.92404979,0.93,Southeast,2015,2,1
2015-02-01,4.87412441,0.91,Great_Lakes,2015,2,1
2015-02-01,0.41275274,1.06,Northern_New_England,2015,2,1
2015-02-01,2.56132542,0.92,Plains,2015,2,1
2015-02-01,4.29888317,1.23,Northeast,2015,2,1
2015-02-01,8.36250408,0.84,West,2015,2,1
2015-02-01,44.65546151,0.89,Total_US,2015,2,1
2015-02-08,2.73400698,1.06,Midsouth,2015,2,1
2015-02-08,0.36393524,1.03,Northern_New_England,2015,2,1
2015-02-08,5.90023215,0.73,SouthCentral,2015,2,1
2015-02-08,5.94984614,0.89,West,2015,2,1
2015-02-08,2.57397363,1.11,Southeast,2015,2,1
2015-02-08,4.45704941,1.09,Northeast,2015,2,1
2015-02-08,2.85645635,1.07,Great_Lakes,2015,2,1
2015-02-08,32.13733301,0.95,Total_US,2015,2,1
2015-02-08,1.79454377,0.98,Plains,2015,2,1
2015-02-15,2.55856378,1.16,Southeast,2015,2,1
2015-02-15,28.01252093,1.03,Total_US,2015,2,1
2015-02-15,2.42082945,1.17,Midsouth,2015,2,1
2015-02-15,5.02668871,0.98,West,2015,2,1
2015-02-15,5.20497191,0.8,SouthCentral,2015,2,1
2015-02-15,2.61000441,1.15,Great_Lakes,2015,2,1
2015-02-15,2.9836959,1.29,Northeast,2015,2,1
2015-02-15,0.28851478,1.11,Northern_New_England,2015,2,1
2015-02-15,1.50782192,1.05,Plains,2015,2,1
2015-02-22,2.73022403,1.16,Great_Lakes,2015,2,1
