region,date,type,price,units_sold
Great_Lakes,1/4/15,Conventional,1.02,3382800.12
Great_Lakes,1/4/15,Organic,1.54,61615.1
Great_Lakes,1/11/15,Conventional,1.1,3067638.32
Great_Lakes,1/11/15,Organic,1.69,58061.65
Great_Lakes,1/18/15,Conventional,1.08,3006207.02
Great_Lakes,1/18/15,Organic,1.73,57646.9
Great_Lakes,1/25/15,Conventional,1.13,2928692.32
Great_Lakes,1/25/15,Organic,1.63,59906.52
Great_Lakes,2/1/15,Conventional,0.91,4874124.41
Great_Lakes,2/1/15,Organic,1.53,63248.58
Great_Lakes,2/8/15,Conventional,1.07,2856456.35
Great_Lakes,2/8/15,Organic,1.64,58545.6
Great_Lakes,2/15/15,Conventional,1.15,2610004.41
Great_Lakes,2/15/15,Organic,1.65,58236.29
Great_Lakes,2/22/15,Conventional,1.16,2730224.03
Great_Lakes,2/22/15,Organic,1.68,56569.37
Great_Lakes,3/1/15,Conventional,1.02,3566752.43
Great_Lakes,3/1/15,Organic,1.69,61260.09
Great_Lakes,3/8/15,Conventional,1.04,3134752.64
Great_Lakes,3/8/15,Organic,1.6,74152.81
Great_Lakes,3/15/15,Conventional,1.1,2948199.23
Great_Lakes,3/15/15,Organic,1.55,65534.87
Great_Lakes,3/22/15,Conventional,1.04,3746598.18
Great_Lakes,3/22/15,Organic,1.63,56818.47
Great_Lakes,3/29/15,Conventional,1.09,2971443.88
Great_Lakes,3/29/15,Organic,1.62,64282.45
Great_Lakes,4/5/15,Conventional,1.18,2938918.81
Great_Lakes,4/5/15,Organic,1.51,81495.39
Great_Lakes,4/12/15,Conventional,1.11,2895992.9
Great_Lakes,4/12/15,Organic,1.42,149583.28
Great_Lakes,4/19/15,Conventional,1.06,3857605.11
Great_Lakes,4/19/15,Organic,1.57,85825.52
Great_Lakes,4/26/15,Conventional,1.14,3234024.32
Great_Lakes,4/26/15,Organic,1.55,92616.45
Great_Lakes,5/3/15,Conventional,1.05,3901054.42
Great_Lakes,5/3/15,Organic,1.22,143144.15
Great_Lakes,5/10/15,Conventional,1.15,3501344.46
Great_Lakes,5/10/15,Organic,1.13,171746.76
Great_Lakes,5/17/15,Conventional,1.09,3753201.03
Great_Lakes,5/17/15,Organic,1.44,82513.95
Great_Lakes,5/24/15,Conventional,1.15,3574050.61
Great_Lakes,5/24/15,Organic,1.66,79844.57
Great_Lakes,5/31/15,Conventional,1.2,3151714
Great_Lakes,5/31/15,Organic,1.65,79819.77
Great_Lakes,6/7/15,Conventional,1.13,3602112.79
Great_Lakes,6/7/15,Organic,1.55,81945.35
Great_Lakes,6/14/15,Conventional,1.12,3511185.14
Great_Lakes,6/14/15,Organic,1.58,80790.46
Great_Lakes,6/21/15,Conventional,1.08,3720458.83
Great_Lakes,6/21/15,Organic,1.62,72563.98
Great_Lakes,6/28/15,Conventional,1.07,3336314.35
Great_Lakes,6/28/15,Organic,1.59,71801.27
Great_Lakes,7/5/15,Conventional,1.13,3774004.27
Great_Lakes,7/5/15,Organic,1.54,86288.07
Great_Lakes,7/12/15,Conventional,1.14,3077237.12
Great_Lakes,7/12/15,Organic,1.4,88179.72
Great_Lakes,7/19/15,Conventional,1.12,3436864.41
Great_Lakes,7/19/15,Organic,1.48,81489.76
Great_Lakes,7/26/15,Conventional,1.1,3135698.38
Great_Lakes,7/26/15,Organic,1.5,87348.95
Great_Lakes,8/2/15,Conventional,1.14,3162447.64
Great_Lakes,8/2/15,Organic,1.64,82380.97
Great_Lakes,8/9/15,Conventional,1.12,3230139.65
Great_Lakes,8/9/15,Organic,1.7,84089.07
Great_Lakes,8/16/15,Conventional,1.03,3653376.07
